{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -2.47, 'datetime': '2018-11-26 12:40:50.132598', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.58, 'compass': -36.47, 'pitch': 0.45, 'roll': -5.25}
{'lipoC2': 7.41, 'temp': 29.94, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.3, 'datetime': '2018-11-26 12:40:50.343047', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.79, 'compass': -36.3, 'pitch': 0.13, 'roll': -5.09}
{'lipoC2': 7.41, 'temp': 29.94, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.23, 'datetime': '2018-11-26 12:40:50.550727', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.0, 'compass': -36.24, 'pitch': 0.16, 'roll': -5.08}
{'lipoC2': 7.42, 'temp': 30.38, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -2.32, 'datetime': '2018-11-26 12:40:50.761719', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.2, 'compass': -36.33, 'pitch': 0.39, 'roll': -5.08}
{'lipoC2': 7.42, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -2.65, 'datetime': '2018-11-26 12:40:50.969390', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.41, 'compass': -36.66, 'pitch': 0.77, 'roll': -4.94}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -3.14, 'datetime': '2018-11-26 12:40:51.174287', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.62, 'compass': -37.14, 'pitch': 1.24, 'roll': -4.73}
{'lipoC2': 7.41, 'temp': 30.44, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -3.59, 'datetime': '2018-11-26 12:40:51.385892', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.83, 'compass': -37.59, 'pitch': 1.79, 'roll': -4.77}
{'lipoC2': 7.42, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -3.93, 'datetime': '2018-11-26 12:40:51.593099', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.04, 'compass': -37.94, 'pitch': 2.3, 'roll': -4.99}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.2, 'datetime': '2018-11-26 12:40:51.804327', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.25, 'compass': -38.2, 'pitch': 2.59, 'roll': -5.17}
{'lipoC2': 7.41, 'temp': 30.31, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': -4.39, 'datetime': '2018-11-26 12:40:52.012281', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.46, 'compass': -38.39, 'pitch': 2.59, 'roll': -5.42}
