{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:48.090168', 'pitch': -1.54, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.78, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.56, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 8.13, 'thr2': 31.0, 'yaw': -6.39, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:48.410478', 'pitch': -1.55, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.8, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.59, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 8.45, 'thr2': 31.0, 'yaw': -6.36, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:48.733016', 'pitch': -1.63, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.86, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.24, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 8.77, 'thr2': 31.0, 'yaw': -6.71, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:49.053867', 'pitch': -1.57, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.81, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.74, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 9.09, 'thr2': 31.0, 'yaw': -6.21, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:49.390060', 'pitch': -1.56, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.83, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.18, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 9.41, 'thr2': 31.0, 'yaw': -6.77, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:49.708496', 'pitch': -1.56, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.83, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.26, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 9.74, 'thr2': 31.0, 'yaw': -6.7, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:50.019945', 'pitch': -1.61, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.74, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 178.89, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 10.06, 'thr2': 31.0, 'yaw': -6.06, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:50.340022', 'pitch': -1.57, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.74, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 179.76, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.149, 'time': 10.38, 'thr2': 31.0, 'yaw': -5.19, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:50.670390', 'pitch': -1.57, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.8, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 179.77, 'lipoC2': 0.0, 'temp': 25.43, 'thr3': 32.0, 'depth': 0.149, 'time': 10.7, 'thr2': 31.0, 'yaw': -5.19, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:36:50.995979', 'pitch': -1.52, 'rot1': 3, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': -0.8, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 179.84, 'lipoC2': 0.0, 'temp': 25.44, 'thr3': 32.0, 'depth': 0.149, 'time': 11.02, 'thr2': 31.0, 'yaw': -5.12, 'thr0': 26.0, 'thr1': 27.0}
