{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:18.076291', 'pitch': 0.45, 'rot1': 67, 'rot0': 112, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.22, 'cur2': 0.42, 'cur0': 0.33, 'cur1': 0.0, 'mgs': 0, 'compass': -127.53, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 10.87, 'thr2': 32.0, 'yaw': -33.45, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:18.397889', 'pitch': 0.9, 'rot1': 69, 'rot0': 116, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.09, 'cur2': 0.38, 'cur0': 0.33, 'cur1': 0.0, 'mgs': 0, 'compass': -125.17, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 11.19, 'thr2': 32.0, 'yaw': -31.09, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:18.719069', 'pitch': 1.67, 'rot1': 71, 'rot0': 121, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.73, 'cur2': 0.42, 'cur0': 0.32, 'cur1': 0.0, 'mgs': 0, 'compass': -114.99, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 11.52, 'thr2': 32.0, 'yaw': -20.91, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:19.042107', 'pitch': 2.0, 'rot1': 75, 'rot0': 127, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.77, 'cur2': 0.38, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -95.28, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 11.84, 'thr2': 32.0, 'yaw': -1.2, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:19.362535', 'pitch': 1.92, 'rot1': 75, 'rot0': 127, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.94, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -81.67, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 12.16, 'thr2': 32.0, 'yaw': 12.42, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:19.682630', 'pitch': 1.68, 'rot1': 77, 'rot0': 132, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.18, 'cur2': 0.42, 'cur0': 0.32, 'cur1': 0.0, 'mgs': 0, 'compass': -76.7, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 12.48, 'thr2': 32.0, 'yaw': 17.38, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:20.006158', 'pitch': 1.92, 'rot1': 82, 'rot0': 138, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.26, 'cur2': 0.39, 'cur0': 0.37, 'cur1': 0.0, 'mgs': 0, 'compass': -68.2, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 12.8, 'thr2': 32.0, 'yaw': 25.88, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:20.328786', 'pitch': 1.86, 'rot1': 85, 'rot0': 145, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.44, 'cur2': 0.39, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -61.5, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 13.12, 'thr2': 32.0, 'yaw': 32.58, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:20.650572', 'pitch': 1.52, 'rot1': 88, 'rot0': 150, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.58, 'cur2': 0.37, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -61.05, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 32.0, 'depth': 0.238, 'time': 13.44, 'thr2': 31.0, 'yaw': 33.03, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:20.974779', 'pitch': 1.24, 'rot1': 93, 'rot0': 157, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.5, 'cur2': 0.39, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -64.74, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 13.77, 'thr2': 32.0, 'yaw': 29.34, 'thr0': 28.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:21.294254', 'pitch': 0.97, 'rot1': 97, 'rot0': 164, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.59, 'cur2': 0.39, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -69.24, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 14.09, 'thr2': 32.0, 'yaw': 24.84, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:21.617183', 'pitch': 0.7, 'rot1': 101, 'rot0': 172, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.66, 'cur2': 0.38, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -75.95, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.238, 'time': 14.41, 'thr2': 32.0, 'yaw': 18.14, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 10:46:21.938749', 'pitch': 0.52, 'rot1': 106, 'rot0': 178, 'rot3': 1, 'rot2': 1, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.9, 'cur2': 0.39, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -86.52, 'lipoC2': 0.0, 'temp': 24.54, 'thr3': 33.0, 'depth': 0.228, 'time': 14.73, 'thr2': 32.0, 'yaw': 7.56, 'thr0': 27.0, 'thr1': 27.0}
