{'lipoC2': 7.28, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 19, 'rot0': 13, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': -19.62, 'datetime': '2018-12-12 14:49:00.779787', 'mgs': 0, 'flw2': 2.2, 'flw1': 0.44, 'flw0': 2.17, 'time': 8.53, 'compass': 63.05, 'pitch': 1.57, 'roll': -1.29}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 11.42, 'state': 'normal', 'rot1': 21, 'rot0': 15, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -20.86, 'datetime': '2018-12-12 14:49:00.987366', 'mgs': 0, 'flw2': 2.25, 'flw1': 0.56, 'flw0': 2.77, 'time': 8.74, 'compass': 61.81, 'pitch': 1.03, 'roll': -1.3}
{'lipoC2': 7.2, 'temp': 0.0, 'lipoC3S3': 11.09, 'state': 'normal', 'rot1': 24, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -22.02, 'datetime': '2018-12-12 14:49:01.198672', 'mgs': 0, 'flw2': 2.27, 'flw1': 0.47, 'flw0': 2.78, 'time': 8.95, 'compass': 60.66, 'pitch': 1.34, 'roll': -1.43}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 11.06, 'state': 'normal', 'rot1': 26, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -23.45, 'datetime': '2018-12-12 14:49:01.405526', 'mgs': 0, 'flw2': 2.42, 'flw1': 0.0, 'flw0': 2.83, 'time': 9.16, 'compass': 59.22, 'pitch': 1.86, 'roll': -1.61}
{'lipoC2': 7.11, 'temp': 0.0, 'lipoC3S3': 10.94, 'state': 'normal', 'rot1': 28, 'rot0': 22, 'rot3': 0, 'rot2': 0, 'depth': 2.682, 'yaw': -24.95, 'datetime': '2018-12-12 14:49:01.615916', 'mgs': 0, 'flw2': 2.77, 'flw1': 0.0, 'flw0': 2.72, 'time': 9.37, 'compass': 57.72, 'pitch': 1.59, 'roll': -1.79}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.01, 'state': 'normal', 'rot1': 31, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -26.29, 'datetime': '2018-12-12 14:49:01.824082', 'mgs': 0, 'flw2': 2.26, 'flw1': 0.0, 'flw0': 3.11, 'time': 9.57, 'compass': 56.39, 'pitch': 1.12, 'roll': -1.89}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 10.93, 'state': 'normal', 'rot1': 33, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': 2.148, 'yaw': -27.55, 'datetime': '2018-12-12 14:49:02.033531', 'mgs': 0, 'flw2': 2.84, 'flw1': 0.0, 'flw0': 2.94, 'time': 9.78, 'compass': 55.13, 'pitch': 1.25, 'roll': -2.05}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 10.97, 'state': 'normal', 'rot1': 36, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': -28.83, 'datetime': '2018-12-12 14:49:02.244517', 'mgs': 0, 'flw2': 2.91, 'flw1': 0.0, 'flw0': 2.81, 'time': 9.99, 'compass': 53.85, 'pitch': 1.85, 'roll': -1.97}
{'lipoC2': 7.08, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 38, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -29.94, 'datetime': '2018-12-12 14:49:02.450900', 'mgs': 0, 'flw2': 3.25, 'flw1': 0.06, 'flw0': 3.11, 'time': 10.2, 'compass': 52.74, 'pitch': 1.75, 'roll': -1.77}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 40, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': -30.85, 'datetime': '2018-12-12 14:49:02.658596', 'mgs': 0, 'flw2': 3.36, 'flw1': 0.21, 'flw0': 2.97, 'time': 10.41, 'compass': 51.82, 'pitch': 1.4, 'roll': -1.69}
