{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:20.731072', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 7.49, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.17, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:20.948516', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.76, 'flw0': 0.0, 'time': 7.7, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 0.15, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.971, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:21.252444', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.12, 'flw0': 0.12, 'time': 8.01, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.21, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:21.457202', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 8.21, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:21.663124', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.76, 'flw0': 0.0, 'time': 8.42, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:21.874264', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 8.63, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.971, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:22.079852', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 8.84, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.23, 'temp': 0.0, 'lipoC3S3': 0.01, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:22.288391', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.0, 'time': 9.05, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:22.496317', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.0, 'flw0': 0.32, 'time': 9.25, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.26, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 0.0, 'datetime': '2018-12-18 14:08:22.704528', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 9.46, 'compass': 3.14, 'pitch': -2.62, 'roll': -1.23}
