{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:36:37.107757', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.62, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:36:37.312505', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.83, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.44, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:36:37.518296', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.03, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.44, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:36:37.722917', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.24, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:36:37.930598', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.44, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.01, 'datetime': '2018-11-13 15:36:38.136989', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.65, 'pitch': -0.94, 'roll': -2.19}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.88, 'datetime': '2018-11-13 15:36:38.343391', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.86, 'pitch': -0.9, 'roll': -2.22}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 3.7, 'datetime': '2018-11-13 15:36:38.548330', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.06, 'pitch': -0.92, 'roll': -2.26}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 7.46, 'datetime': '2018-11-13 15:36:38.752164', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.27, 'pitch': -0.97, 'roll': -2.33}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 11.97, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 10.68, 'datetime': '2018-11-13 15:36:38.958768', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.34, 'time': 5.47, 'pitch': -0.97, 'roll': -2.39}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.01, 'state': 'normal', 'rot1': 1, 'rot0': 1, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 13.24, 'datetime': '2018-11-13 15:36:39.162957', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.33, 'time': 5.68, 'pitch': -0.96, 'roll': -2.42}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 2, 'rot0': 3, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 13.27, 'datetime': '2018-11-13 15:36:39.369907', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.32, 'time': 5.89, 'pitch': -0.96, 'roll': -2.42}
{'lipoC2': 7.59, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 3, 'rot0': 4, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 13.27, 'datetime': '2018-11-13 15:36:39.571699', 'mgs': 0, 'flw2': 0.28, 'flw1': 0.0, 'flw0': 0.34, 'time': 6.09, 'pitch': -0.96, 'roll': -2.43}
