{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.09, 'state': 'normal', 'rot1': 107, 'rot0': 101, 'rot3': 16, 'rot2': 21, 'depth': 1.614, 'yaw': 2.86, 'datetime': '2018-11-26 13:20:15.202977', 'mgs': 0, 'flw2': 1.01, 'flw1': 4.42, 'flw0': 2.62, 'time': 14.89, 'compass': 69.47, 'pitch': -1.17, 'roll': 2.82}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.17, 'state': 'normal', 'rot1': 109, 'rot0': 103, 'rot3': 17, 'rot2': 22, 'depth': 2.682, 'yaw': 2.95, 'datetime': '2018-11-26 13:20:15.411557', 'mgs': 0, 'flw2': 1.18, 'flw1': 3.75, 'flw0': 2.64, 'time': 15.1, 'compass': 69.55, 'pitch': -1.25, 'roll': 3.33}
{'lipoC2': 7.23, 'temp': 28.94, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 111, 'rot0': 105, 'rot3': 18, 'rot2': 23, 'depth': 2.148, 'yaw': 1.88, 'datetime': '2018-11-26 13:20:15.623611', 'mgs': 0, 'flw2': 1.15, 'flw1': 3.93, 'flw0': 2.82, 'time': 15.31, 'compass': 68.48, 'pitch': -1.16, 'roll': 4.1}
{'lipoC2': 7.06, 'temp': 29.06, 'lipoC3S3': 11.17, 'state': 'normal', 'rot1': 112, 'rot0': 108, 'rot3': 19, 'rot2': 24, 'depth': 1.614, 'yaw': -0.1, 'datetime': '2018-11-26 13:20:15.832120', 'mgs': 0, 'flw2': 2.7, 'flw1': 3.43, 'flw0': 2.73, 'time': 15.52, 'compass': 66.51, 'pitch': -1.03, 'roll': 5.2}
{'lipoC2': 7.08, 'temp': 29.06, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 115, 'rot0': 110, 'rot3': 19, 'rot2': 25, 'depth': 1.614, 'yaw': -1.76, 'datetime': '2018-11-26 13:20:16.044357', 'mgs': 0, 'flw2': 2.59, 'flw1': 0.0, 'flw0': 2.69, 'time': 15.73, 'compass': 64.84, 'pitch': -1.07, 'roll': 6.57}
{'lipoC2': 7.08, 'temp': 29.25, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 117, 'rot0': 112, 'rot3': 19, 'rot2': 25, 'depth': 1.614, 'yaw': -2.64, 'datetime': '2018-11-26 13:20:16.256500', 'mgs': 0, 'flw2': 2.51, 'flw1': 0.0, 'flw0': 1.21, 'time': 15.94, 'compass': 63.96, 'pitch': -1.3, 'roll': 7.25}
{'lipoC2': 7.06, 'temp': 29.06, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 119, 'rot0': 113, 'rot3': 19, 'rot2': 25, 'depth': 1.462, 'yaw': -2.03, 'datetime': '2018-11-26 13:20:16.466754', 'mgs': 0, 'flw2': 2.64, 'flw1': 0.0, 'flw0': 1.25, 'time': 16.15, 'compass': 64.57, 'pitch': -1.43, 'roll': 6.87}
{'lipoC2': 7.22, 'temp': 29.13, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 121, 'rot0': 115, 'rot3': 19, 'rot2': 25, 'depth': 0.928, 'yaw': -0.33, 'datetime': '2018-11-26 13:20:16.672264', 'mgs': 0, 'flw2': 2.66, 'flw1': 0.0, 'flw0': 1.29, 'time': 16.36, 'compass': 66.28, 'pitch': -1.59, 'roll': 6.08}
{'lipoC2': 7.06, 'temp': 29.0, 'lipoC3S3': 11.15, 'state': 'normal', 'rot1': 124, 'rot0': 117, 'rot3': 19, 'rot2': 25, 'depth': 1.385, 'yaw': 1.67, 'datetime': '2018-11-26 13:20:16.883187', 'mgs': 0, 'flw2': 2.66, 'flw1': 0.0, 'flw0': 2.87, 'time': 16.57, 'compass': 68.27, 'pitch': -1.55, 'roll': 5.15}
{'lipoC2': 7.29, 'temp': 29.19, 'lipoC3S3': 11.17, 'state': 'normal', 'rot1': 126, 'rot0': 119, 'rot3': 19, 'rot2': 25, 'depth': 1.309, 'yaw': 2.64, 'datetime': '2018-11-26 13:20:17.094549', 'mgs': 0, 'flw2': 1.07, 'flw1': 0.0, 'flw0': 2.83, 'time': 16.78, 'compass': 69.24, 'pitch': -1.34, 'roll': 4.73}
