{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': -2.582, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:22.509023', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.0, 'time': 8.33, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': -2.658, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:22.717281', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 8.54, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.11, 'state': 'normal', 'rot1': 0, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:22.926367', 'mgs': 0, 'flw2': 1.86, 'flw1': 0.59, 'flw0': 0.0, 'time': 8.75, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.23, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 53, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:23.133991', 'mgs': 0, 'flw2': 1.39, 'flw1': 0.32, 'flw0': 0.0, 'time': 8.96, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 57, 'rot3': 0, 'rot2': 0, 'depth': -2.734, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:23.344056', 'mgs': 0, 'flw2': 1.01, 'flw1': 0.56, 'flw0': 0.0, 'time': 9.16, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 0.04, 'state': 'normal', 'rot1': 0, 'rot0': 61, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:23.553594', 'mgs': 0, 'flw2': 1.14, 'flw1': 0.23, 'flw0': 0.05, 'time': 9.37, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.21, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 66, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:23.761594', 'mgs': 0, 'flw2': 0.17, 'flw1': 0.56, 'flw0': 0.0, 'time': 9.58, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.24, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:23.970795', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.01, 'time': 9.79, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': -2.811, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:24.180146', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 0.0, 'time': 10.0, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:24.388057', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.15, 'flw0': 0.0, 'time': 10.21, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:24.595703', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.0, 'time': 10.42, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 0.15, 'state': 'normal', 'rot1': 0, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': -2.582, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:24.805694', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.32, 'flw0': 0.04, 'time': 10.63, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': -2.277, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:25.015811', 'mgs': 0, 'flw2': 0.28, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.83, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.07, 'state': 'normal', 'rot1': 0, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:25.225556', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 1.06, 'time': 11.04, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 3, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:25.432754', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 2.17, 'time': 11.25, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.96}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 7, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': 1.767, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:25.642160', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.35, 'flw0': 0.0, 'time': 11.46, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.08, 'state': 'normal', 'rot1': 8, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:25.852787', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.23, 'flw0': 0.78, 'time': 11.67, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 0.16, 'state': 'normal', 'rot1': 12, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:26.061780', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.26, 'flw0': 1.33, 'time': 11.88, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.97}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 16, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:26.270683', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.0, 'time': 12.09, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.98}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.12, 'state': 'normal', 'rot1': 16, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:26.479431', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.01, 'time': 12.29, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.99}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.21, 'state': 'normal', 'rot1': 16, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:26.689805', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.64, 'flw0': 0.0, 'time': 12.5, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.99}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.16, 'state': 'normal', 'rot1': 16, 'rot0': 68, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 0.0, 'datetime': '2018-12-18 15:26:26.899597', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.0, 'time': 12.71, 'compass': 3.15, 'pitch': -2.54, 'roll': -0.99}
