{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 11.76, 'state': 'normal', 'rot1': 26, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -150.05, 'datetime': '2018-12-18 20:16:32.089586', 'mgs': 0, 'flw2': 0.43, 'flw1': 0.0, 'flw0': 0.67, 'time': 6.47, 'compass': -11.0, 'pitch': 0.26, 'roll': 1.5}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 27, 'rot0': 27, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': -154.18, 'datetime': '2018-12-18 20:16:32.300251', 'mgs': 0, 'flw2': 0.55, 'flw1': 0.0, 'flw0': 0.34, 'time': 6.68, 'compass': -15.13, 'pitch': -0.03, 'roll': 1.67}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 11.75, 'state': 'normal', 'rot1': 28, 'rot0': 28, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': -157.11, 'datetime': '2018-12-18 20:16:32.508716', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.0, 'flw0': 0.01, 'time': 6.89, 'compass': -18.06, 'pitch': 0.34, 'roll': 1.67}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 29, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -159.38, 'datetime': '2018-12-18 20:16:32.719037', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.06, 'flw0': 0.07, 'time': 7.09, 'compass': -20.33, 'pitch': 1.07, 'roll': 1.49}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 11.89, 'state': 'normal', 'rot1': 30, 'rot0': 30, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -160.88, 'datetime': '2018-12-18 20:16:32.925601', 'mgs': 0, 'flw2': 0.29, 'flw1': 0.0, 'flw0': 0.55, 'time': 7.3, 'compass': -21.83, 'pitch': 1.27, 'roll': 1.29}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 31, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -161.7, 'datetime': '2018-12-18 20:16:33.129826', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.38, 'flw0': 0.42, 'time': 7.51, 'compass': -22.65, 'pitch': 0.92, 'roll': 1.29}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 11.75, 'state': 'normal', 'rot1': 32, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -161.87, 'datetime': '2018-12-18 20:16:33.339768', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.29, 'flw0': 0.01, 'time': 7.72, 'compass': -22.81, 'pitch': 0.65, 'roll': 1.29}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 33, 'rot0': 33, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -161.49, 'datetime': '2018-12-18 20:16:33.550548', 'mgs': 0, 'flw2': 0.38, 'flw1': 0.0, 'flw0': 0.32, 'time': 7.93, 'compass': -22.44, 'pitch': 0.85, 'roll': 1.52}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 34, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': -2.048, 'yaw': -160.59, 'datetime': '2018-12-18 20:16:33.760494', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.63, 'time': 8.14, 'compass': -21.53, 'pitch': 1.26, 'roll': 1.81}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 35, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -159.21, 'datetime': '2018-12-18 20:16:33.972847', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.06, 'flw0': 0.0, 'time': 8.35, 'compass': -20.16, 'pitch': 1.19, 'roll': 1.92}
