{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.66, 'state': 'normal', 'rot1': 38, 'rot0': 83, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 112.95, 'datetime': '2018-12-18 17:13:26.271733', 'mgs': 0, 'flw2': 0.46, 'flw1': 0.26, 'flw0': 0.0, 'time': 8.24, 'compass': 16.7, 'pitch': 0.82, 'roll': 2.98}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 39, 'rot0': 85, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': 111.61, 'datetime': '2018-12-18 17:13:26.490025', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.35, 'flw0': 0.43, 'time': 8.45, 'compass': 15.36, 'pitch': 0.56, 'roll': 2.89}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 40, 'rot0': 86, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 109.76, 'datetime': '2018-12-18 17:13:26.699410', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.45, 'time': 8.66, 'compass': 13.51, 'pitch': 0.39, 'roll': 2.91}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 42, 'rot0': 87, 'rot3': 0, 'rot2': 0, 'depth': -1.361, 'yaw': 107.44, 'datetime': '2018-12-18 17:13:26.906782', 'mgs': 0, 'flw2': 0.42, 'flw1': 0.35, 'flw0': 0.22, 'time': 8.87, 'compass': 11.19, 'pitch': 0.26, 'roll': 2.92}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.48, 'state': 'normal', 'rot1': 43, 'rot0': 88, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': 104.85, 'datetime': '2018-12-18 17:13:27.116934', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.32, 'flw0': 0.45, 'time': 9.08, 'compass': 8.6, 'pitch': 0.14, 'roll': 2.93}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 44, 'rot0': 89, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 101.79, 'datetime': '2018-12-18 17:13:27.322438', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.51, 'time': 9.28, 'compass': 5.54, 'pitch': -0.02, 'roll': 2.93}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 45, 'rot0': 90, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 98.45, 'datetime': '2018-12-18 17:13:27.526182', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.2, 'time': 9.49, 'compass': 2.2, 'pitch': -0.19, 'roll': 2.93}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.58, 'state': 'normal', 'rot1': 45, 'rot0': 90, 'rot3': 0, 'rot2': 0, 'depth': -1.895, 'yaw': 95.46, 'datetime': '2018-12-18 17:13:27.736952', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.15, 'flw0': 0.2, 'time': 9.7, 'compass': -0.79, 'pitch': -0.35, 'roll': 3.11}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.64, 'state': 'normal', 'rot1': 45, 'rot0': 90, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': 93.0, 'datetime': '2018-12-18 17:13:27.947618', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.2, 'time': 9.91, 'compass': -3.25, 'pitch': -0.48, 'roll': 3.25}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 45, 'rot0': 90, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 90.68, 'datetime': '2018-12-18 17:13:28.159443', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.09, 'flw0': 0.24, 'time': 10.12, 'compass': -5.57, 'pitch': -0.62, 'roll': 3.28}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 12.51, 'state': 'normal', 'rot1': 45, 'rot0': 90, 'rot3': 0, 'rot2': 0, 'depth': -2.582, 'yaw': 88.56, 'datetime': '2018-12-18 17:13:28.368181', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.33, 'compass': -7.69, 'pitch': -0.89, 'roll': 3.26}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 45, 'rot0': 90, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 86.71, 'datetime': '2018-12-18 17:13:28.569364', 'mgs': 0, 'flw2': 0.49, 'flw1': 0.0, 'flw0': 0.63, 'time': 10.54, 'compass': -9.54, 'pitch': -1.08, 'roll': 3.19}
