{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 40, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 80.4, 'datetime': '2018-12-18 17:02:26.400120', 'mgs': 0, 'flw2': 0.32, 'flw1': 0.0, 'flw0': 0.61, 'time': 9.39, 'compass': -11.86, 'pitch': 1.21, 'roll': 3.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 42, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 80.26, 'datetime': '2018-12-18 17:02:26.608942', 'mgs': 0, 'flw2': 0.51, 'flw1': 0.0, 'flw0': 0.4, 'time': 9.6, 'compass': -12.0, 'pitch': 1.21, 'roll': 3.01}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.66, 'state': 'normal', 'rot1': 43, 'rot0': 38, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 80.94, 'datetime': '2018-12-18 17:02:26.818115', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.02, 'time': 9.81, 'compass': -11.32, 'pitch': 1.24, 'roll': 2.99}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.62, 'state': 'normal', 'rot1': 44, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 82.23, 'datetime': '2018-12-18 17:02:27.022091', 'mgs': 0, 'flw2': 0.59, 'flw1': 0.0, 'flw0': 0.11, 'time': 10.01, 'compass': -10.03, 'pitch': 1.31, 'roll': 2.97}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.35, 'state': 'normal', 'rot1': 45, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 84.27, 'datetime': '2018-12-18 17:02:27.231050', 'mgs': 0, 'flw2': 0.51, 'flw1': 0.32, 'flw0': 0.16, 'time': 10.22, 'compass': -7.99, 'pitch': 1.42, 'roll': 3.16}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 46, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 86.6, 'datetime': '2018-12-18 17:02:27.440683', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.21, 'time': 10.43, 'compass': -5.66, 'pitch': 1.55, 'roll': 3.24}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 46, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 88.6, 'datetime': '2018-12-18 17:02:27.649732', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.18, 'time': 10.64, 'compass': -3.66, 'pitch': 1.5, 'roll': 3.19}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 46, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 90.31, 'datetime': '2018-12-18 17:02:27.859797', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.18, 'time': 10.85, 'compass': -1.95, 'pitch': 1.26, 'roll': 3.15}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 12.54, 'state': 'normal', 'rot1': 46, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -2.277, 'yaw': 92.01, 'datetime': '2018-12-18 17:02:28.067617', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 11.06, 'compass': -0.25, 'pitch': 1.04, 'roll': 3.12}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 46, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -2.2, 'yaw': 93.6, 'datetime': '2018-12-18 17:02:28.276654', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.27, 'compass': 1.35, 'pitch': 1.11, 'roll': 3.11}
