{'lipoC2': 7.65, 'temp': 24.5, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 62, 'rot0': 57, 'rot3': 3, 'rot2': 3, 'depth': 2.759, 'yaw': 3.29, 'datetime': '2018-11-26 11:10:21.681919', 'mgs': 0, 'flw2': 1.31, 'flw1': 4.1, 'flw0': 3.09, 'time': 7.44, 'compass': 164.7, 'pitch': -0.89, 'roll': 2.87}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 63, 'rot0': 59, 'rot3': 3, 'rot2': 3, 'depth': 2.301, 'yaw': 2.41, 'datetime': '2018-11-26 11:10:21.887694', 'mgs': 0, 'flw2': 1.29, 'flw1': 0.0, 'flw0': 3.11, 'time': 7.65, 'compass': 163.82, 'pitch': -1.12, 'roll': 4.21}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 65, 'rot0': 62, 'rot3': 3, 'rot2': 3, 'depth': 2.072, 'yaw': 0.39, 'datetime': '2018-11-26 11:10:22.095742', 'mgs': 0, 'flw2': 1.37, 'flw1': 0.0, 'flw0': 2.98, 'time': 7.86, 'compass': 161.81, 'pitch': -1.29, 'roll': 4.83}
{'lipoC2': 7.65, 'temp': 24.56, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 67, 'rot0': 64, 'rot3': 3, 'rot2': 3, 'depth': 2.225, 'yaw': -2.12, 'datetime': '2018-11-26 11:10:22.305783', 'mgs': 0, 'flw2': 2.84, 'flw1': 0.0, 'flw0': 3.03, 'time': 8.07, 'compass': 159.3, 'pitch': -1.46, 'roll': 5.35}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 70, 'rot0': 66, 'rot3': 3, 'rot2': 3, 'depth': 2.301, 'yaw': -4.05, 'datetime': '2018-11-26 11:10:22.515191', 'mgs': 0, 'flw2': 2.97, 'flw1': 0.0, 'flw0': 1.28, 'time': 8.28, 'compass': 157.36, 'pitch': -1.73, 'roll': 5.83}
{'lipoC2': 7.65, 'temp': 24.81, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 72, 'rot0': 68, 'rot3': 3, 'rot2': 3, 'depth': 2.911, 'yaw': -4.62, 'datetime': '2018-11-26 11:10:22.723676', 'mgs': 0, 'flw2': 2.91, 'flw1': 0.0, 'flw0': 1.29, 'time': 8.49, 'compass': 156.79, 'pitch': -2.24, 'roll': 5.53}
{'lipoC2': 7.65, 'temp': 24.81, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 74, 'rot0': 70, 'rot3': 3, 'rot2': 3, 'depth': 2.759, 'yaw': -3.79, 'datetime': '2018-11-26 11:10:22.933380', 'mgs': 0, 'flw2': 2.86, 'flw1': 0.0, 'flw0': 1.34, 'time': 8.7, 'compass': 157.63, 'pitch': -2.62, 'roll': 4.76}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 77, 'rot0': 71, 'rot3': 3, 'rot2': 3, 'depth': 2.606, 'yaw': -1.99, 'datetime': '2018-11-26 11:10:23.142357', 'mgs': 0, 'flw2': 2.88, 'flw1': 0.0, 'flw0': 1.32, 'time': 8.91, 'compass': 159.43, 'pitch': -2.59, 'roll': 3.82}
{'lipoC2': 7.65, 'temp': 24.69, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 79, 'rot0': 73, 'rot3': 3, 'rot2': 3, 'depth': 2.759, 'yaw': 0.32, 'datetime': '2018-11-26 11:10:23.353290', 'mgs': 0, 'flw2': 2.76, 'flw1': 0.0, 'flw0': 1.29, 'time': 9.12, 'compass': 161.74, 'pitch': -2.28, 'roll': 2.78}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 82, 'rot0': 75, 'rot3': 3, 'rot2': 3, 'depth': 1.996, 'yaw': 2.56, 'datetime': '2018-11-26 11:10:23.562762', 'mgs': 0, 'flw2': 2.66, 'flw1': 0.0, 'flw0': 2.88, 'time': 9.33, 'compass': 163.97, 'pitch': -1.98, 'roll': 2.01}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 84, 'rot0': 78, 'rot3': 3, 'rot2': 3, 'depth': 1.996, 'yaw': 3.61, 'datetime': '2018-11-26 11:10:23.771226', 'mgs': 0, 'flw2': 1.17, 'flw1': 0.0, 'flw0': 2.94, 'time': 9.54, 'compass': 165.02, 'pitch': -1.76, 'roll': 1.85}
{'lipoC2': 7.65, 'temp': 24.5, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 86, 'rot0': 80, 'rot3': 3, 'rot2': 3, 'depth': 2.225, 'yaw': 3.11, 'datetime': '2018-11-26 11:10:23.981673', 'mgs': 0, 'flw2': 1.27, 'flw1': 5.01, 'flw0': 3.09, 'time': 9.75, 'compass': 164.53, 'pitch': -1.69, 'roll': 1.56}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 87, 'rot0': 83, 'rot3': 4, 'rot2': 4, 'depth': 2.454, 'yaw': 1.22, 'datetime': '2018-11-26 11:10:24.189996', 'mgs': 0, 'flw2': 1.33, 'flw1': 3.78, 'flw0': 2.92, 'time': 9.96, 'compass': 162.63, 'pitch': -2.13, 'roll': 1.73}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 89, 'rot0': 85, 'rot3': 4, 'rot2': 5, 'depth': 1.996, 'yaw': -1.48, 'datetime': '2018-11-26 11:10:24.400131', 'mgs': 0, 'flw2': 2.84, 'flw1': 0.0, 'flw0': 2.97, 'time': 10.17, 'compass': 159.94, 'pitch': -2.89, 'roll': 2.51}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 92, 'rot0': 87, 'rot3': 4, 'rot2': 5, 'depth': 2.072, 'yaw': -3.9, 'datetime': '2018-11-26 11:10:24.611892', 'mgs': 0, 'flw2': 2.78, 'flw1': 0.0, 'flw0': 2.92, 'time': 10.38, 'compass': 157.51, 'pitch': -3.62, 'roll': 3.57}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 94, 'rot0': 89, 'rot3': 4, 'rot2': 5, 'depth': 1.996, 'yaw': -5.27, 'datetime': '2018-11-26 11:10:24.819208', 'mgs': 0, 'flw2': 2.81, 'flw1': 0.0, 'flw0': 1.32, 'time': 10.59, 'compass': 156.15, 'pitch': -3.96, 'roll': 4.56}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 96, 'rot0': 91, 'rot3': 4, 'rot2': 5, 'depth': 2.148, 'yaw': -5.01, 'datetime': '2018-11-26 11:10:25.028442', 'mgs': 0, 'flw2': 2.77, 'flw1': 0.0, 'flw0': 1.32, 'time': 10.8, 'compass': 156.41, 'pitch': -3.99, 'roll': 4.63}
{'lipoC2': 7.65, 'temp': 24.69, 'lipoC3S3': 12.14, 'state': 'normal', 'rot1': 99, 'rot0': 93, 'rot3': 4, 'rot2': 5, 'depth': 2.072, 'yaw': -3.73, 'datetime': '2018-11-26 11:10:25.238959', 'mgs': 0, 'flw2': 2.8, 'flw1': 0.0, 'flw0': 1.35, 'time': 11.01, 'compass': 157.69, 'pitch': -3.71, 'roll': 4.36}
{'lipoC2': 7.65, 'temp': 23.63, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 101, 'rot0': 94, 'rot3': 4, 'rot2': 5, 'depth': 2.53, 'yaw': -1.81, 'datetime': '2018-11-26 11:10:25.450008', 'mgs': 0, 'flw2': 2.83, 'flw1': 0.0, 'flw0': 1.32, 'time': 11.22, 'compass': 159.6, 'pitch': -3.2, 'roll': 3.98}
{'lipoC2': 7.65, 'temp': 25.06, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 103, 'rot0': 96, 'rot3': 4, 'rot2': 5, 'depth': 2.148, 'yaw': 0.39, 'datetime': '2018-11-26 11:10:25.659628', 'mgs': 0, 'flw2': 2.82, 'flw1': 0.0, 'flw0': 3.19, 'time': 11.43, 'compass': 161.81, 'pitch': -2.58, 'roll': 3.64}
{'lipoC2': 7.65, 'temp': 25.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 106, 'rot0': 99, 'rot3': 4, 'rot2': 5, 'depth': 2.148, 'yaw': 1.69, 'datetime': '2018-11-26 11:10:25.869200', 'mgs': 0, 'flw2': 2.72, 'flw1': 0.0, 'flw0': 3.1, 'time': 11.64, 'compass': 163.11, 'pitch': -2.04, 'roll': 3.78}
{'lipoC2': 7.65, 'temp': 25.0, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 108, 'rot0': 101, 'rot3': 4, 'rot2': 5, 'depth': 2.225, 'yaw': 1.64, 'datetime': '2018-11-26 11:10:26.082017', 'mgs': 0, 'flw2': 0.0, 'flw1': 8.38, 'flw0': 0.0, 'time': 11.85, 'compass': 163.05, 'pitch': -1.82, 'roll': 4.13}
{'lipoC2': 7.65, 'temp': 24.69, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 108, 'rot0': 101, 'rot3': 5, 'rot2': 6, 'depth': 2.682, 'yaw': 0.99, 'datetime': '2018-11-26 11:10:26.287942', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.6, 'flw0': 0.0, 'time': 12.06, 'compass': 162.4, 'pitch': -2.16, 'roll': 3.35}
{'lipoC2': 7.65, 'temp': 24.5, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 108, 'rot0': 101, 'rot3': 7, 'rot2': 7, 'depth': 2.53, 'yaw': 0.24, 'datetime': '2018-11-26 11:10:26.503192', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.63, 'flw0': 0.0, 'time': 12.27, 'compass': 161.66, 'pitch': -2.86, 'roll': 1.97}
{'lipoC2': 7.65, 'temp': 24.69, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 108, 'rot0': 101, 'rot3': 8, 'rot2': 9, 'depth': 1.996, 'yaw': -0.49, 'datetime': '2018-11-26 11:10:26.710509', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.3, 'flw0': 0.0, 'time': 12.48, 'compass': 160.92, 'pitch': -3.7, 'roll': 0.74}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.17, 'state': 'normal', 'rot1': 108, 'rot0': 101, 'rot3': 9, 'rot2': 10, 'depth': 1.843, 'yaw': -1.18, 'datetime': '2018-11-26 11:10:26.923954', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.39, 'flw0': 0.0, 'time': 12.69, 'compass': 160.23, 'pitch': -4.58, 'roll': -0.14}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 108, 'rot0': 101, 'rot3': 10, 'rot2': 11, 'depth': 2.377, 'yaw': -1.86, 'datetime': '2018-11-26 11:10:27.132824', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.1, 'flw0': 0.0, 'time': 12.9, 'compass': 159.55, 'pitch': -5.38, 'roll': -0.47}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 108, 'rot0': 101, 'rot3': 11, 'rot2': 13, 'depth': 1.843, 'yaw': -2.54, 'datetime': '2018-11-26 11:10:27.344439', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.21, 'flw0': 0.0, 'time': 13.11, 'compass': 158.87, 'pitch': -5.91, 'roll': -0.42}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 108, 'rot0': 101, 'rot3': 12, 'rot2': 14, 'depth': 1.92, 'yaw': -3.32, 'datetime': '2018-11-26 11:10:27.555184', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.3, 'flw0': 0.0, 'time': 13.32, 'compass': 158.1, 'pitch': -6.18, 'roll': -0.32}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 108, 'rot0': 101, 'rot3': 13, 'rot2': 15, 'depth': 1.767, 'yaw': -4.26, 'datetime': '2018-11-26 11:10:27.766938', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.42, 'flw0': 0.0, 'time': 13.53, 'compass': 157.16, 'pitch': -6.27, 'roll': 0.1}
{'lipoC2': 7.65, 'temp': 24.63, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 108, 'rot0': 101, 'rot3': 14, 'rot2': 17, 'depth': 1.691, 'yaw': -5.26, 'datetime': '2018-11-26 11:10:27.976533', 'mgs': 0, 'flw2': 0.0, 'flw1': 5.1, 'flw0': 0.0, 'time': 13.74, 'compass': 156.16, 'pitch': -6.25, 'roll': 1.0}
