{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:21.973693', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 3, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.22, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 26.87, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 36.0, 'depth': 0.119, 'time': 8.13, 'thr2': 32.0, 'yaw': 4.16, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:22.296436', 'pitch': -0.55, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 3, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.22, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 26.89, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 36.0, 'depth': 0.119, 'time': 8.45, 'thr2': 32.0, 'yaw': 4.18, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:22.620953', 'pitch': -0.57, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 3, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.22, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 26.99, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 35.0, 'depth': 0.119, 'time': 8.77, 'thr2': 31.0, 'yaw': 4.28, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:22.938721', 'pitch': -0.56, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 4, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.22, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.35, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 30.0, 'depth': 0.119, 'time': 9.1, 'thr2': 30.0, 'yaw': 4.64, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:23.262865', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 4, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.35, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 9.42, 'thr2': 31.0, 'yaw': 4.64, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:23.585600', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 4, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.35, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 31.0, 'depth': 0.119, 'time': 9.74, 'thr2': 31.0, 'yaw': 4.64, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:23.905393', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.35, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 37.0, 'depth': 0.119, 'time': 10.06, 'thr2': 33.0, 'yaw': 4.64, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:24.226336', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.35, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 36.0, 'depth': 0.119, 'time': 10.38, 'thr2': 32.0, 'yaw': 4.64, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:24.549223', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.35, 'lipoC2': 0.0, 'temp': 25.13, 'thr3': 36.0, 'depth': 0.119, 'time': 10.7, 'thr2': 32.0, 'yaw': 4.64, 'thr0': 26.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:21:24.865045', 'pitch': -0.58, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 5, 'flw2': 2, 'flw1': 2, 'flw0': 0, 'roll': 0.23, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 27.35, 'lipoC2': 0.0, 'temp': 25.14, 'thr3': 36.0, 'depth': 0.119, 'time': 11.02, 'thr2': 32.0, 'yaw': 4.64, 'thr0': 27.0, 'thr1': 27.0}
