{'lipoC2': 8.09, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 59, 'rot0': 51, 'rot3': 28, 'rot2': 37, 'depth': 2.148, 'yaw': -13.61, 'datetime': '2018-12-12 10:38:55.807573', 'mgs': 0, 'flw2': 0.0, 'flw1': 2.87, 'flw0': 0.0, 'time': 7.13, 'compass': 3.27, 'pitch': 1.3, 'roll': 3.06}
{'lipoC2': 8.05, 'temp': 0.0, 'lipoC3S3': 12.52, 'state': 'normal', 'rot1': 59, 'rot0': 51, 'rot3': 29, 'rot2': 38, 'depth': -0.903, 'yaw': -11.51, 'datetime': '2018-12-12 10:38:56.018875', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.37, 'flw0': 0.0, 'time': 7.34, 'compass': 5.38, 'pitch': 1.05, 'roll': 3.31}
{'lipoC2': 8.29, 'temp': 0.0, 'lipoC3S3': 12.16, 'state': 'normal', 'rot1': 59, 'rot0': 51, 'rot3': 30, 'rot2': 39, 'depth': -1.666, 'yaw': -9.67, 'datetime': '2018-12-12 10:38:56.231833', 'mgs': 0, 'flw2': 0.71, 'flw1': 2.67, 'flw0': 0.76, 'time': 7.55, 'compass': 7.22, 'pitch': 1.39, 'roll': 3.26}
{'lipoC2': 8.23, 'temp': 0.0, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 61, 'rot0': 52, 'rot3': 31, 'rot2': 40, 'depth': 1.538, 'yaw': -8.66, 'datetime': '2018-12-12 10:38:56.433650', 'mgs': 0, 'flw2': 0.2, 'flw1': 2.72, 'flw0': 0.18, 'time': 7.75, 'compass': 8.22, 'pitch': 1.28, 'roll': 2.83}
{'lipoC2': 8.26, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 62, 'rot0': 54, 'rot3': 31, 'rot2': 41, 'depth': 1.233, 'yaw': -8.51, 'datetime': '2018-12-12 10:38:56.642079', 'mgs': 0, 'flw2': 0.23, 'flw1': 2.37, 'flw0': 0.2, 'time': 7.96, 'compass': 8.38, 'pitch': 0.7, 'roll': 2.45}
{'lipoC2': 8.27, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 64, 'rot0': 55, 'rot3': 32, 'rot2': 42, 'depth': -1.056, 'yaw': -9.07, 'datetime': '2018-12-12 10:38:56.854464', 'mgs': 0, 'flw2': 0.13, 'flw1': 2.87, 'flw0': 0.06, 'time': 8.17, 'compass': 7.82, 'pitch': 0.7, 'roll': 2.53}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 66, 'rot0': 56, 'rot3': 33, 'rot2': 43, 'depth': -1.59, 'yaw': -10.24, 'datetime': '2018-12-12 10:38:57.068800', 'mgs': 0, 'flw2': 0.63, 'flw1': 2.52, 'flw0': 0.65, 'time': 8.39, 'compass': 6.65, 'pitch': 1.21, 'roll': 3.08}
{'lipoC2': 8.05, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 67, 'rot0': 57, 'rot3': 34, 'rot2': 44, 'depth': -0.751, 'yaw': -11.91, 'datetime': '2018-12-12 10:38:57.280939', 'mgs': 0, 'flw2': 0.56, 'flw1': 2.46, 'flw0': 0.52, 'time': 8.6, 'compass': 4.98, 'pitch': 1.73, 'roll': 3.75}
{'lipoC2': 8.35, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 68, 'rot0': 58, 'rot3': 35, 'rot2': 45, 'depth': -1.59, 'yaw': -14.04, 'datetime': '2018-12-12 10:38:57.490796', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.05, 'flw0': 0.0, 'time': 8.81, 'compass': 2.85, 'pitch': 2.0, 'roll': 4.23}
{'lipoC2': 8.38, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 68, 'rot0': 58, 'rot3': 36, 'rot2': 47, 'depth': -1.59, 'yaw': -16.18, 'datetime': '2018-12-12 10:38:57.698063', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.57, 'flw0': 0.0, 'time': 9.01, 'compass': 0.7, 'pitch': 1.67, 'roll': 4.64}
{'lipoC2': 8.05, 'temp': 0.0, 'lipoC3S3': 12.5, 'state': 'normal', 'rot1': 68, 'rot0': 58, 'rot3': 36, 'rot2': 48, 'depth': -0.903, 'yaw': -18.02, 'datetime': '2018-12-12 10:38:57.906598', 'mgs': 0, 'flw2': 0.07, 'flw1': 2.26, 'flw0': 0.05, 'time': 9.22, 'compass': -1.13, 'pitch': 0.99, 'roll': 4.89}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 68, 'rot0': 58, 'rot3': 37, 'rot2': 49, 'depth': 1.157, 'yaw': -19.7, 'datetime': '2018-12-12 10:38:58.119853', 'mgs': 0, 'flw2': 0.28, 'flw1': 2.81, 'flw0': 0.29, 'time': 9.43, 'compass': -2.81, 'pitch': 0.5, 'roll': 5.18}
{'lipoC2': 8.36, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 68, 'rot0': 58, 'rot3': 38, 'rot2': 50, 'depth': 0.089, 'yaw': -21.15, 'datetime': '2018-12-12 10:38:58.331300', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.11, 'flw0': 0.0, 'time': 9.64, 'compass': -4.27, 'pitch': 0.59, 'roll': 5.45}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 68, 'rot0': 58, 'rot3': 39, 'rot2': 51, 'depth': -0.827, 'yaw': -22.51, 'datetime': '2018-12-12 10:38:58.536435', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.37, 'flw0': 0.0, 'time': 9.85, 'compass': -5.63, 'pitch': 0.89, 'roll': 5.36}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 68, 'rot0': 58, 'rot3': 40, 'rot2': 52, 'depth': 1.385, 'yaw': -23.87, 'datetime': '2018-12-12 10:38:58.748811', 'mgs': 0, 'flw2': 0.11, 'flw1': 2.49, 'flw0': 0.16, 'time': 10.06, 'compass': -6.98, 'pitch': 1.09, 'roll': 4.79}
{'lipoC2': 8.08, 'temp': 0.0, 'lipoC3S3': 12.43, 'state': 'normal', 'rot1': 68, 'rot0': 58, 'rot3': 40, 'rot2': 53, 'depth': -0.98, 'yaw': -25.14, 'datetime': '2018-12-12 10:38:58.956069', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.52, 'flw0': 0.0, 'time': 10.27, 'compass': -8.26, 'pitch': 1.04, 'roll': 4.21}
{'lipoC2': 8.3, 'temp': 0.0, 'lipoC3S3': 12.1, 'state': 'normal', 'rot1': 68, 'rot0': 58, 'rot3': 41, 'rot2': 54, 'depth': -1.514, 'yaw': -26.25, 'datetime': '2018-12-12 10:38:59.169333', 'mgs': 0, 'flw2': 0.35, 'flw1': 3.28, 'flw0': 0.38, 'time': 10.48, 'compass': -9.36, 'pitch': 0.88, 'roll': 4.21}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 69, 'rot0': 59, 'rot3': 42, 'rot2': 55, 'depth': -0.827, 'yaw': -26.84, 'datetime': '2018-12-12 10:38:59.377274', 'mgs': 0, 'flw2': 0.63, 'flw1': 2.72, 'flw0': 0.62, 'time': 10.69, 'compass': -9.95, 'pitch': 0.87, 'roll': 4.64}
{'lipoC2': 8.26, 'temp': 0.0, 'lipoC3S3': 12.1, 'state': 'normal', 'rot1': 71, 'rot0': 60, 'rot3': 43, 'rot2': 56, 'depth': 1.614, 'yaw': -26.79, 'datetime': '2018-12-12 10:38:59.588631', 'mgs': 0, 'flw2': 0.13, 'flw1': 2.99, 'flw0': 0.07, 'time': 10.9, 'compass': -9.9, 'pitch': 1.34, 'roll': 5.0}
{'lipoC2': 8.17, 'temp': 0.0, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 72, 'rot0': 61, 'rot3': 44, 'rot2': 57, 'depth': 2.072, 'yaw': -26.23, 'datetime': '2018-12-12 10:38:59.796258', 'mgs': 0, 'flw2': 0.28, 'flw1': 2.37, 'flw0': 0.23, 'time': 11.11, 'compass': -9.34, 'pitch': 2.0, 'roll': 5.15}
{'lipoC2': 8.2, 'temp': 0.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 73, 'rot0': 62, 'rot3': 44, 'rot2': 58, 'depth': -1.132, 'yaw': -25.14, 'datetime': '2018-12-12 10:39:00.006053', 'mgs': 0, 'flw2': 0.59, 'flw1': 2.58, 'flw0': 0.66, 'time': 11.32, 'compass': -8.25, 'pitch': 2.4, 'roll': 5.06}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 12.37, 'state': 'normal', 'rot1': 74, 'rot0': 63, 'rot3': 45, 'rot2': 60, 'depth': -0.674, 'yaw': -23.7, 'datetime': '2018-12-12 10:39:00.218949', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.6, 'flw0': 0.0, 'time': 11.53, 'compass': -6.81, 'pitch': 2.28, 'roll': 4.66}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 74, 'rot0': 63, 'rot3': 46, 'rot2': 61, 'depth': -0.446, 'yaw': -22.52, 'datetime': '2018-12-12 10:39:00.427431', 'mgs': 0, 'flw2': 0.31, 'flw1': 2.61, 'flw0': 0.29, 'time': 11.74, 'compass': -5.63, 'pitch': 1.73, 'roll': 4.43}
{'lipoC2': 8.15, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 74, 'rot0': 63, 'rot3': 47, 'rot2': 62, 'depth': 2.301, 'yaw': -21.57, 'datetime': '2018-12-12 10:39:00.638617', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.25, 'flw0': 0.0, 'time': 11.95, 'compass': -4.68, 'pitch': 1.4, 'roll': 4.77}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 74, 'rot0': 63, 'rot3': 48, 'rot2': 63, 'depth': -0.217, 'yaw': -20.89, 'datetime': '2018-12-12 10:39:00.848281', 'mgs': 0, 'flw2': 0.0, 'flw1': 2.49, 'flw0': 0.0, 'time': 12.16, 'compass': -4.0, 'pitch': 1.6, 'roll': 5.03}
{'lipoC2': 8.09, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 74, 'rot0': 63, 'rot3': 48, 'rot2': 64, 'depth': 0.775, 'yaw': -20.43, 'datetime': '2018-12-12 10:39:01.057597', 'mgs': 0, 'flw2': 0.0, 'flw1': 3.87, 'flw0': 0.0, 'time': 12.37, 'compass': -3.54, 'pitch': 2.04, 'roll': 4.59}
