{'lipoC2': 7.44, 'temp': 0.0, 'lipoC3S3': 11.44, 'state': 'normal', 'rot1': 35, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': 162.85, 'datetime': '2018-12-12 14:40:37.932895', 'mgs': 0, 'flw2': 0.34, 'flw1': 0.0, 'flw0': 0.15, 'time': 6.47, 'compass': 34.74, 'pitch': -1.86, 'roll': -0.27}
{'lipoC2': 7.22, 'temp': 0.0, 'lipoC3S3': 11.31, 'state': 'normal', 'rot1': 36, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 163.06, 'datetime': '2018-12-12 14:40:38.142934', 'mgs': 0, 'flw2': 0.33, 'flw1': 0.0, 'flw0': 0.63, 'time': 6.68, 'compass': 34.96, 'pitch': -1.42, 'roll': 0.07}
{'lipoC2': 7.17, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 37, 'rot0': 33, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 162.53, 'datetime': '2018-12-12 14:40:38.351756', 'mgs': 0, 'flw2': 0.49, 'flw1': 0.0, 'flw0': 0.38, 'time': 6.89, 'compass': 34.43, 'pitch': -1.81, 'roll': 0.55}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.15, 'state': 'normal', 'rot1': 38, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': -1.743, 'yaw': 161.41, 'datetime': '2018-12-12 14:40:38.560722', 'mgs': 0, 'flw2': 0.32, 'flw1': 0.0, 'flw0': 0.79, 'time': 7.1, 'compass': 33.31, 'pitch': -2.63, 'roll': 0.31}
{'lipoC2': 7.23, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 39, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': 159.76, 'datetime': '2018-12-12 14:40:38.769726', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.0, 'flw0': 0.35, 'time': 7.31, 'compass': 31.65, 'pitch': -2.53, 'roll': -0.4}
{'lipoC2': 7.11, 'temp': 0.0, 'lipoC3S3': 11.51, 'state': 'normal', 'rot1': 40, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 157.83, 'datetime': '2018-12-12 14:40:38.978245', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.09, 'flw0': 0.18, 'time': 7.51, 'compass': 29.72, 'pitch': -1.61, 'roll': -0.69}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.46, 'state': 'normal', 'rot1': 41, 'rot0': 38, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 155.6, 'datetime': '2018-12-12 14:40:39.187062', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.1, 'time': 7.72, 'compass': 27.5, 'pitch': -1.1, 'roll': -0.27}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 42, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': 153.36, 'datetime': '2018-12-12 14:40:39.405137', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.5, 'flw0': 0.39, 'time': 7.93, 'compass': 25.26, 'pitch': -1.57, 'roll': 0.25}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 43, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 150.88, 'datetime': '2018-12-12 14:40:39.606431', 'mgs': 0, 'flw2': 0.38, 'flw1': 0.0, 'flw0': 0.43, 'time': 8.14, 'compass': 22.78, 'pitch': -2.23, 'roll': 0.06}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.01, 'state': 'normal', 'rot1': 44, 'rot0': 41, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 148.3, 'datetime': '2018-12-12 14:40:39.815314', 'mgs': 0, 'flw2': 0.37, 'flw1': 0.59, 'flw0': 0.0, 'time': 8.35, 'compass': 20.19, 'pitch': -2.19, 'roll': -0.51}
{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 45, 'rot0': 42, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 145.58, 'datetime': '2018-12-12 14:40:40.023664', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.47, 'flw0': 0.28, 'time': 8.56, 'compass': 17.48, 'pitch': -1.83, 'roll': -0.79}
{'lipoC2': 7.41, 'temp': 0.0, 'lipoC3S3': 11.03, 'state': 'normal', 'rot1': 46, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 142.87, 'datetime': '2018-12-12 14:40:40.232560', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.0, 'flw0': 0.46, 'time': 8.77, 'compass': 14.76, 'pitch': -1.85, 'roll': -0.71}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 10.93, 'state': 'normal', 'rot1': 47, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 139.95, 'datetime': '2018-12-12 14:40:40.440834', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.27, 'time': 8.98, 'compass': 11.85, 'pitch': -2.32, 'roll': -0.5}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.31, 'state': 'normal', 'rot1': 48, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 136.9, 'datetime': '2018-12-12 14:40:40.649937', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.28, 'time': 9.18, 'compass': 8.79, 'pitch': -2.51, 'roll': -0.28}
{'lipoC2': 7.48, 'temp': 0.0, 'lipoC3S3': 10.98, 'state': 'normal', 'rot1': 49, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': -2.277, 'yaw': 133.72, 'datetime': '2018-12-12 14:40:40.858741', 'mgs': 0, 'flw2': 0.44, 'flw1': 0.0, 'flw0': 0.38, 'time': 9.39, 'compass': 5.62, 'pitch': -1.98, 'roll': -0.32}
{'lipoC2': 7.1, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 50, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 130.41, 'datetime': '2018-12-12 14:40:41.068811', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.01, 'time': 9.6, 'compass': 2.3, 'pitch': -1.53, 'roll': -0.39}
