{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 99, 'rot0': 92, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 84.53, 'datetime': '2018-12-18 21:03:47.689631', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.0, 'time': 6.47, 'compass': 72.51, 'pitch': -4.34, 'roll': 4.56}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 99, 'rot0': 92, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 86.19, 'datetime': '2018-12-18 21:03:47.898758', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 6.68, 'compass': 74.17, 'pitch': -5.24, 'roll': 3.66}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 99, 'rot0': 92, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 88.45, 'datetime': '2018-12-18 21:03:48.106567', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.18, 'flw0': 0.0, 'time': 6.88, 'compass': 76.43, 'pitch': -4.8, 'roll': 3.17}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 99, 'rot0': 92, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 91.33, 'datetime': '2018-12-18 21:03:48.315740', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.35, 'flw0': 0.0, 'time': 7.09, 'compass': 79.31, 'pitch': -4.9, 'roll': 2.42}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 99, 'rot0': 92, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': 94.46, 'datetime': '2018-12-18 21:03:48.523740', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.06, 'time': 7.3, 'compass': 82.44, 'pitch': -5.49, 'roll': 1.66}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.87, 'state': 'normal', 'rot1': 99, 'rot0': 92, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 97.73, 'datetime': '2018-12-18 21:03:48.733709', 'mgs': 0, 'flw2': 0.23, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.51, 'compass': 85.71, 'pitch': -5.96, 'roll': 1.33}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 99, 'rot0': 92, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 101.04, 'datetime': '2018-12-18 21:03:48.942996', 'mgs': 0, 'flw2': 8.97, 'flw1': 0.0, 'flw0': 0.22, 'time': 7.72, 'compass': 89.03, 'pitch': -5.86, 'roll': 1.46}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 11.68, 'state': 'normal', 'rot1': 99, 'rot0': 97, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 108.7, 'datetime': '2018-12-18 21:03:49.152120', 'mgs': 0, 'flw2': 12.22, 'flw1': 0.41, 'flw0': 0.0, 'time': 7.93, 'compass': 96.68, 'pitch': -2.87, 'roll': 3.11}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 99, 'rot0': 103, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': 122.84, 'datetime': '2018-12-18 21:03:49.360148', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.47, 'flw0': 0.0, 'time': 8.14, 'compass': 110.83, 'pitch': 1.32, 'roll': 6.06}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 99, 'rot0': 108, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': 140.14, 'datetime': '2018-12-18 21:03:49.569605', 'mgs': 0, 'flw2': 12.24, 'flw1': 0.38, 'flw0': 0.0, 'time': 8.34, 'compass': 128.12, 'pitch': 3.5, 'roll': 8.88}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 99, 'rot0': 114, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': 158.58, 'datetime': '2018-12-18 21:03:49.779509', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.23, 'flw0': 0.0, 'time': 8.55, 'compass': 146.56, 'pitch': 5.57, 'roll': 10.09}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 100, 'rot0': 119, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': 176.81, 'datetime': '2018-12-18 21:03:49.989360', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.38, 'flw0': 6.24, 'time': 8.76, 'compass': 164.79, 'pitch': 9.36, 'roll': 10.16}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 107, 'rot0': 125, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': -167.12, 'datetime': '2018-12-18 21:03:50.200244', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.09, 'flw0': 12.49, 'time': 8.97, 'compass': -179.13, 'pitch': 14.92, 'roll': 9.94}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 113, 'rot0': 130, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -156.23, 'datetime': '2018-12-18 21:03:50.408855', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 6.87, 'time': 9.18, 'compass': -168.25, 'pitch': 19.72, 'roll': 10.78}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.68, 'state': 'normal', 'rot1': 118, 'rot0': 134, 'rot3': 0, 'rot2': 0, 'depth': 0.623, 'yaw': -147.18, 'datetime': '2018-12-18 21:03:50.618653', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 9.05, 'time': 9.39, 'compass': -159.2, 'pitch': 20.2, 'roll': 11.95}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 124, 'rot0': 139, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -140.15, 'datetime': '2018-12-18 21:03:50.827512', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.29, 'flw0': 9.97, 'time': 9.6, 'compass': -152.17, 'pitch': 18.01, 'roll': 13.08}
{'lipoC2': 0.18, 'temp': 0.0, 'lipoC3S3': 11.81, 'state': 'normal', 'rot1': 130, 'rot0': 144, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -134.94, 'datetime': '2018-12-18 21:03:51.038806', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.47, 'flw0': 11.13, 'time': 9.81, 'compass': -146.96, 'pitch': 16.52, 'roll': 13.53}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 137, 'rot0': 149, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': -131.43, 'datetime': '2018-12-18 21:03:51.249786', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 12.1, 'time': 10.02, 'compass': -143.45, 'pitch': 16.97, 'roll': 13.47}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 147, 'rot0': 153, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': -129.37, 'datetime': '2018-12-18 21:03:51.459505', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 11.88, 'time': 10.23, 'compass': -141.39, 'pitch': 17.8, 'roll': 13.2}
{'lipoC2': 0.06, 'temp': 0.0, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 154, 'rot0': 159, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': -128.33, 'datetime': '2018-12-18 21:03:51.669529', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.41, 'flw0': 11.74, 'time': 10.44, 'compass': -140.35, 'pitch': 17.58, 'roll': 12.28}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 162, 'rot0': 164, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -127.61, 'datetime': '2018-12-18 21:03:51.878195', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 11.63, 'time': 10.65, 'compass': -139.62, 'pitch': 15.5, 'roll': 10.82}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 169, 'rot0': 169, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -126.37, 'datetime': '2018-12-18 21:03:52.088278', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.06, 'flw0': 12.29, 'time': 10.86, 'compass': -138.39, 'pitch': 14.29, 'roll': 9.15}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.97, 'state': 'normal', 'rot1': 177, 'rot0': 173, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': -124.6, 'datetime': '2018-12-18 21:03:52.298830', 'mgs': 0, 'flw2': 12.49, 'flw1': 0.0, 'flw0': 11.54, 'time': 11.07, 'compass': -136.62, 'pitch': 14.17, 'roll': 7.72}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -122.66, 'datetime': '2018-12-18 21:03:52.507728', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.35, 'flw0': 0.0, 'time': 11.28, 'compass': -134.68, 'pitch': 12.6, 'roll': 6.63}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': -121.0, 'datetime': '2018-12-18 21:03:52.718764', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 11.49, 'compass': -133.02, 'pitch': 6.75, 'roll': 5.82}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -118.8, 'datetime': '2018-12-18 21:03:52.928087', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.7, 'compass': -130.82, 'pitch': 4.08, 'roll': 5.56}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -116.34, 'datetime': '2018-12-18 21:03:53.136731', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.23, 'flw0': 0.0, 'time': 11.91, 'compass': -128.36, 'pitch': 4.5, 'roll': 5.58}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -113.55, 'datetime': '2018-12-18 21:03:53.347574', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.11, 'compass': -125.57, 'pitch': 5.02, 'roll': 5.47}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 11.87, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': -2.048, 'yaw': -110.67, 'datetime': '2018-12-18 21:03:53.557492', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.0, 'flw0': 0.02, 'time': 12.32, 'compass': -122.69, 'pitch': 4.71, 'roll': 4.95}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.81, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -107.72, 'datetime': '2018-12-18 21:03:53.767926', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 12.53, 'compass': -119.74, 'pitch': 4.02, 'roll': 4.03}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.8, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': -104.55, 'datetime': '2018-12-18 21:03:53.976387', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 12.74, 'compass': -116.57, 'pitch': 3.32, 'roll': 3.12}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -101.27, 'datetime': '2018-12-18 21:03:54.186167', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.32, 'flw0': 0.0, 'time': 12.95, 'compass': -113.29, 'pitch': 3.07, 'roll': 2.45}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.81, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -97.92, 'datetime': '2018-12-18 21:03:54.395657', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.35, 'flw0': 0.0, 'time': 13.16, 'compass': -109.94, 'pitch': 3.54, 'roll': 2.12}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.69, 'state': 'normal', 'rot1': 179, 'rot0': 175, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': -94.69, 'datetime': '2018-12-18 21:03:54.605366', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.0, 'flw0': 2.32, 'time': 13.37, 'compass': -106.71, 'pitch': 4.22, 'roll': 1.99}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 185, 'rot0': 176, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': -92.92, 'datetime': '2018-12-18 21:03:54.816079', 'mgs': 0, 'flw2': 10.01, 'flw1': 0.41, 'flw0': 11.89, 'time': 13.58, 'compass': -104.93, 'pitch': 5.34, 'roll': 1.73}
