{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 37, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -83.2, 'datetime': '2018-12-12 14:15:37.391109', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.86, 'compass': 2.33, 'pitch': -1.17, 'roll': -0.28}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.69, 'state': 'normal', 'rot1': 37, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': 2.148, 'yaw': -81.17, 'datetime': '2018-12-12 14:15:37.596488', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.07, 'compass': 4.35, 'pitch': -1.24, 'roll': 0.21}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 37, 'rot0': 32, 'rot3': 0, 'rot2': 0, 'depth': 2.148, 'yaw': -79.36, 'datetime': '2018-12-12 14:15:37.805059', 'mgs': 0, 'flw2': 0.33, 'flw1': 0.53, 'flw0': 0.28, 'time': 9.28, 'compass': 6.16, 'pitch': -1.31, 'roll': 0.44}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.56, 'state': 'normal', 'rot1': 38, 'rot0': 33, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': -78.35, 'datetime': '2018-12-12 14:15:38.014029', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.26, 'flw0': 0.27, 'time': 9.49, 'compass': 7.18, 'pitch': -1.28, 'roll': 0.4}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 40, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -78.12, 'datetime': '2018-12-12 14:15:38.222300', 'mgs': 0, 'flw2': 0.43, 'flw1': 0.0, 'flw0': 0.07, 'time': 9.7, 'compass': 7.41, 'pitch': -1.0, 'roll': -0.01}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.56, 'state': 'normal', 'rot1': 41, 'rot0': 35, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -78.54, 'datetime': '2018-12-12 14:15:38.430414', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.22, 'time': 9.91, 'compass': 6.98, 'pitch': -0.73, 'roll': -0.5}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 42, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -79.61, 'datetime': '2018-12-12 14:15:38.639754', 'mgs': 0, 'flw2': 0.42, 'flw1': 0.0, 'flw0': 0.05, 'time': 10.12, 'compass': 5.92, 'pitch': -0.81, 'roll': -0.7}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -81.21, 'datetime': '2018-12-12 14:15:38.850465', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.32, 'flw0': 0.28, 'time': 10.33, 'compass': 4.31, 'pitch': -1.3, 'roll': -0.4}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.35, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -83.0, 'datetime': '2018-12-12 14:15:39.059306', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.12, 'time': 10.53, 'compass': 2.53, 'pitch': -1.55, 'roll': 0.33}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 43, 'rot0': 37, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -84.39, 'datetime': '2018-12-12 14:15:39.268536', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.03, 'flw0': 0.0, 'time': 10.74, 'compass': 1.13, 'pitch': -1.17, 'roll': 1.0}
