{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 1262, 'rot0': 166, 'rot3': 25, 'rot2': 36, 'depth': -0.598, 'yaw': -0.23, 'datetime': '2018-11-26 11:30:57.366991', 'mgs': 0, 'flw2': 2.15, 'flw1': 2.4, 'flw0': 2.29, 'time': 6.76, 'compass': -15.54, 'pitch': 2.04, 'roll': -6.36}
{'lipoC2': 7.59, 'temp': 25.19, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 1311, 'rot0': 173, 'rot3': 26, 'rot2': 37, 'depth': -0.217, 'yaw': -0.24, 'datetime': '2018-11-26 11:30:57.581017', 'mgs': 0, 'flw2': 2.15, 'flw1': 2.31, 'flw0': 2.19, 'time': 6.97, 'compass': -15.55, 'pitch': 2.04, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 1361, 'rot0': 179, 'rot3': 27, 'rot2': 39, 'depth': -0.217, 'yaw': -0.26, 'datetime': '2018-11-26 11:30:57.787832', 'mgs': 0, 'flw2': 2.21, 'flw1': 2.37, 'flw0': 2.25, 'time': 7.18, 'compass': -15.57, 'pitch': 2.04, 'roll': -6.35}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.97, 'state': 'normal', 'rot1': 1410, 'rot0': 186, 'rot3': 28, 'rot2': 40, 'depth': -0.14, 'yaw': -0.27, 'datetime': '2018-11-26 11:30:58.000811', 'mgs': 0, 'flw2': 2.09, 'flw1': 2.05, 'flw0': 2.2, 'time': 7.39, 'compass': -15.58, 'pitch': 2.03, 'roll': -6.36}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.1, 'state': 'normal', 'rot1': 1459, 'rot0': 192, 'rot3': 29, 'rot2': 42, 'depth': -0.217, 'yaw': -0.28, 'datetime': '2018-11-26 11:30:58.217003', 'mgs': 0, 'flw2': 2.16, 'flw1': 2.26, 'flw0': 2.19, 'time': 7.61, 'compass': -15.6, 'pitch': 2.05, 'roll': -6.38}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 1509, 'rot0': 198, 'rot3': 30, 'rot2': 43, 'depth': -0.14, 'yaw': -0.29, 'datetime': '2018-11-26 11:30:58.426561', 'mgs': 0, 'flw2': 2.27, 'flw1': 2.37, 'flw0': 2.27, 'time': 7.82, 'compass': -15.6, 'pitch': 2.06, 'roll': -6.37}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 1558, 'rot0': 204, 'rot3': 31, 'rot2': 44, 'depth': 1.385, 'yaw': -0.29, 'datetime': '2018-11-26 11:30:58.639144', 'mgs': 0, 'flw2': 2.32, 'flw1': 2.72, 'flw0': 2.23, 'time': 8.03, 'compass': -15.6, 'pitch': 2.08, 'roll': -6.36}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 11.98, 'state': 'normal', 'rot1': 1607, 'rot0': 211, 'rot3': 32, 'rot2': 46, 'depth': -0.217, 'yaw': -0.29, 'datetime': '2018-11-26 11:30:58.849156', 'mgs': 0, 'flw2': 2.25, 'flw1': 2.58, 'flw0': 2.19, 'time': 8.24, 'compass': -15.6, 'pitch': 2.08, 'roll': -6.37}
{'lipoC2': 7.58, 'temp': 25.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 1657, 'rot0': 217, 'rot3': 33, 'rot2': 47, 'depth': -0.217, 'yaw': -0.31, 'datetime': '2018-11-26 11:30:59.062469', 'mgs': 0, 'flw2': 2.21, 'flw1': 2.81, 'flw0': 2.17, 'time': 8.45, 'compass': -15.62, 'pitch': 2.09, 'roll': -6.36}
{'lipoC2': 7.59, 'temp': 25.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 1706, 'rot0': 224, 'rot3': 34, 'rot2': 49, 'depth': -0.14, 'yaw': -0.32, 'datetime': '2018-11-26 11:30:59.282642', 'mgs': 0, 'flw2': 2.26, 'flw1': 2.61, 'flw0': 2.28, 'time': 8.66, 'compass': -15.63, 'pitch': 2.09, 'roll': -6.35}
