{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:32.774568', 'mgs': 0, 'flw2': 0.27, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.86, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 0.09, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:33.081227', 'mgs': 0, 'flw2': 0.02, 'flw1': 0.0, 'flw0': 0.01, 'time': 12.17, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:33.386488', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.0, 'flw0': 0.0, 'time': 12.48, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.18, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:33.690156', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.03, 'flw0': 0.04, 'time': 12.78, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:33.894158', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.07, 'time': 12.99, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.13, 'temp': 0.0, 'lipoC3S3': 0.03, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -11.356, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:34.100125', 'mgs': 0, 'flw2': 0.2, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.19, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -10.44, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:34.302065', 'mgs': 0, 'flw2': 0.28, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.4, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.2, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -10.898, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:34.508853', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.31, 'time': 13.6, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:34.715595', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.8, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.21, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -11.737, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:35.018902', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.2, 'time': 14.11, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:35.222823', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.47, 'flw0': 0.0, 'time': 14.31, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.18, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -11.89, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:35.426567', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.17, 'time': 14.52, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:35.632542', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.72, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.15, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:35.838187', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.0, 'time': 14.93, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 0.15, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:36.041724', 'mgs': 0, 'flw2': 0.23, 'flw1': 0.0, 'flw0': 0.04, 'time': 15.13, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
{'lipoC2': 0.01, 'temp': 0.0, 'lipoC3S3': 0.0, 'state': 'd9_error', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': 0.0, 'datetime': '2019-02-26 09:13:36.245126', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.0, 'flw0': 0.17, 'time': 15.34, 'compass': 0.0, 'pitch': 0.0, 'roll': 0.0}
