{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:20.728282', 'pitch': 0.78, 'rot1': 323, 'rot0': 218, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.22, 'cur2': 0.67, 'cur0': 2.7, 'cur1': 0.0, 'mgs': 0, 'compass': 72.16, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 8.14, 'thr2': 31.0, 'yaw': 68.2, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:21.047562', 'pitch': 0.67, 'rot1': 339, 'rot0': 222, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.3, 'cur2': 0.16, 'cur0': 2.71, 'cur1': 0.0, 'mgs': 0, 'compass': 91.26, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 8.46, 'thr2': 31.0, 'yaw': 87.3, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:21.371170', 'pitch': 0.6, 'rot1': 353, 'rot0': 223, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.46, 'cur2': 0.1, 'cur0': 2.89, 'cur1': 0.0, 'mgs': 0, 'compass': 108.44, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 8.78, 'thr2': 31.0, 'yaw': 104.48, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:21.701050', 'pitch': 0.52, 'rot1': 366, 'rot0': 225, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.5, 'cur2': 0.7, 'cur0': 2.76, 'cur1': 0.0, 'mgs': 0, 'compass': 124.12, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 9.1, 'thr2': 31.0, 'yaw': 120.16, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:22.014808', 'pitch': 0.39, 'rot1': 381, 'rot0': 231, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.55, 'cur2': 1.09, 'cur0': 2.73, 'cur1': 0.0, 'mgs': 0, 'compass': 133.66, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 9.43, 'thr2': 31.0, 'yaw': 129.7, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:22.334968', 'pitch': 0.23, 'rot1': 395, 'rot0': 238, 'rot3': 7, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.64, 'cur2': 1.12, 'cur0': 2.64, 'cur1': 0.0, 'mgs': 0, 'compass': 129.45, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 9.75, 'thr2': 31.0, 'yaw': 125.49, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:22.657425', 'pitch': 0.21, 'rot1': 411, 'rot0': 243, 'rot3': 8, 'rot2': 12, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.52, 'cur2': 0.72, 'cur0': 2.78, 'cur1': 0.0, 'mgs': 0, 'compass': 109.85, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 10.07, 'thr2': 31.0, 'yaw': 105.89, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:22.980023', 'pitch': 0.49, 'rot1': 429, 'rot0': 275, 'rot3': 56, 'rot2': 60, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.34, 'cur2': 0.01, 'cur0': 2.64, 'cur1': 0.0, 'mgs': 0, 'compass': 80.75, 'lipoC2': 0.0, 'temp': -384.75, 'thr3': 36.0, 'depth': -188249.33, 'time': 10.39, 'thr2': 32.0, 'yaw': 76.79, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:23.312550', 'pitch': 0.79, 'rot1': 442, 'rot0': 347, 'rot3': 179, 'rot2': 226, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.16, 'cur2': 0.83, 'cur0': 2.83, 'cur1': 0.0, 'mgs': 0, 'compass': 50.13, 'lipoC2': 0.0, 'temp': 24.73, 'thr3': 36.0, 'depth': 0.119, 'time': 10.71, 'thr2': 31.0, 'yaw': 46.17, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:23.635626', 'pitch': 1.04, 'rot1': 458, 'rot0': 352, 'rot3': 179, 'rot2': 228, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.11, 'cur2': 1.86, 'cur0': 2.78, 'cur1': 0.0, 'mgs': 0, 'compass': 20.87, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 11.03, 'thr2': 31.0, 'yaw': 16.91, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:23.957143', 'pitch': 1.29, 'rot1': 475, 'rot0': 360, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.21, 'cur2': 2.71, 'cur0': 2.7, 'cur1': 0.0, 'mgs': 0, 'compass': -7.01, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 11.36, 'thr2': 31.0, 'yaw': -10.97, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:24.279031', 'pitch': 1.44, 'rot1': 491, 'rot0': 371, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 2.62, 'cur0': 1.87, 'cur1': 0.0, 'mgs': 0, 'compass': -33.48, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 36.0, 'depth': 0.119, 'time': 11.68, 'thr2': 31.0, 'yaw': -37.44, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:24.601641', 'pitch': 1.58, 'rot1': 504, 'rot0': 382, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.55, 'cur2': 2.75, 'cur0': 1.05, 'cur1': 0.0, 'mgs': 0, 'compass': -58.53, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.129, 'time': 12.0, 'thr2': 31.0, 'yaw': -62.49, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:24.926701', 'pitch': 1.58, 'rot1': 512, 'rot0': 394, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.79, 'cur2': 2.72, 'cur0': 0.32, 'cur1': 0.0, 'mgs': 0, 'compass': -80.96, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.119, 'time': 12.32, 'thr2': 31.0, 'yaw': -84.92, 'thr0': 27.0, 'thr1': 29.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:51:25.244812', 'pitch': 1.45, 'rot1': 515, 'rot0': 405, 'rot3': 179, 'rot2': 229, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.93, 'cur2': 2.76, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -99.58, 'lipoC2': 0.0, 'temp': 24.74, 'thr3': 35.0, 'depth': 0.129, 'time': 12.65, 'thr2': 31.0, 'yaw': -103.54, 'thr0': 27.0, 'thr1': 27.0}
