{'lipoC2': 7.19, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 51, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -142.29, 'datetime': '2018-12-12 14:38:18.810446', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.12, 'flw0': 0.0, 'time': 8.77, 'compass': -1.83, 'pitch': -2.71, 'roll': -1.13}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.09, 'state': 'normal', 'rot1': 51, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -139.6, 'datetime': '2018-12-12 14:38:19.021803', 'mgs': 0, 'flw2': 0.24, 'flw1': 0.0, 'flw0': 0.04, 'time': 8.98, 'compass': 0.86, 'pitch': -2.69, 'roll': -1.55}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 51, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': -1.819, 'yaw': -137.16, 'datetime': '2018-12-12 14:38:19.228361', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.28, 'time': 9.19, 'compass': 3.3, 'pitch': -2.27, 'roll': -1.71}
{'lipoC2': 7.15, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 51, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -134.98, 'datetime': '2018-12-12 14:38:19.437871', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.17, 'time': 9.4, 'compass': 5.48, 'pitch': -2.12, 'roll': -1.47}
{'lipoC2': 7.2, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 52, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -132.98, 'datetime': '2018-12-12 14:38:19.647020', 'mgs': 0, 'flw2': 0.34, 'flw1': 0.0, 'flw0': 0.11, 'time': 9.61, 'compass': 7.48, 'pitch': -2.74, 'roll': -0.7}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 52, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -131.69, 'datetime': '2018-12-12 14:38:19.858060', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.03, 'flw0': 0.23, 'time': 9.82, 'compass': 8.77, 'pitch': -3.23, 'roll': -0.19}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 53, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -131.23, 'datetime': '2018-12-12 14:38:20.066268', 'mgs': 0, 'flw2': 0.39, 'flw1': 0.0, 'flw0': 0.57, 'time': 10.03, 'compass': 9.23, 'pitch': -3.13, 'roll': -0.21}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.42, 'state': 'normal', 'rot1': 54, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': -131.48, 'datetime': '2018-12-12 14:38:20.275956', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.18, 'time': 10.24, 'compass': 8.98, 'pitch': -2.57, 'roll': -0.7}
{'lipoC2': 7.22, 'temp': 0.0, 'lipoC3S3': 11.44, 'state': 'normal', 'rot1': 56, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': -132.29, 'datetime': '2018-12-12 14:38:20.484187', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.15, 'flw0': 0.12, 'time': 10.45, 'compass': 8.17, 'pitch': -2.58, 'roll': -0.9}
{'lipoC2': 7.48, 'temp': 0.0, 'lipoC3S3': 11.05, 'state': 'normal', 'rot1': 56, 'rot0': 47, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -133.65, 'datetime': '2018-12-12 14:38:20.693602', 'mgs': 0, 'flw2': 0.6, 'flw1': 0.0, 'flw0': 0.24, 'time': 10.65, 'compass': 6.81, 'pitch': -3.18, 'roll': -0.83}
