{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 126.24, 'datetime': '2018-12-12 10:57:26.246372', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.64, 'compass': 140.99, 'pitch': -3.83, 'roll': 0.94}
{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 12.34, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 127.59, 'datetime': '2018-12-12 10:57:26.455030', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.02, 'time': 8.85, 'compass': 142.34, 'pitch': -4.88, 'roll': 1.04}
{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': 128.71, 'datetime': '2018-12-12 10:57:26.663686', 'mgs': 0, 'flw2': 0.26, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.05, 'compass': 143.47, 'pitch': -5.86, 'roll': 0.93}
{'lipoC2': 8.12, 'temp': 0.0, 'lipoC3S3': 11.97, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 129.77, 'datetime': '2018-12-12 10:57:26.870777', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.18, 'time': 9.26, 'compass': 144.53, 'pitch': -6.31, 'roll': 0.97}
{'lipoC2': 8.09, 'temp': 0.0, 'lipoC3S3': 11.96, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 2.301, 'yaw': 130.81, 'datetime': '2018-12-12 10:57:27.079421', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.0, 'time': 9.47, 'compass': 145.57, 'pitch': -5.88, 'roll': 1.27}
{'lipoC2': 8.26, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 131.73, 'datetime': '2018-12-12 10:57:27.287617', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.0, 'flw0': 0.0, 'time': 9.68, 'compass': 146.48, 'pitch': -5.14, 'roll': 1.34}
{'lipoC2': 8.02, 'temp': 0.0, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 2.606, 'yaw': 132.62, 'datetime': '2018-12-12 10:57:27.497278', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.7, 'flw0': 0.0, 'time': 9.89, 'compass': 147.37, 'pitch': -4.61, 'roll': 1.14}
{'lipoC2': 7.99, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 133.42, 'datetime': '2018-12-12 10:57:27.704634', 'mgs': 0, 'flw2': 0.29, 'flw1': 0.0, 'flw0': 0.2, 'time': 10.09, 'compass': 148.18, 'pitch': -4.28, 'roll': 1.04}
{'lipoC2': 8.01, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 134.1, 'datetime': '2018-12-12 10:57:27.914416', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.21, 'time': 10.3, 'compass': 148.86, 'pitch': -3.86, 'roll': 0.87}
{'lipoC2': 7.99, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 0, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 2.148, 'yaw': 134.64, 'datetime': '2018-12-12 10:57:28.121869', 'mgs': 0, 'flw2': 0.23, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.51, 'compass': 149.39, 'pitch': -3.46, 'roll': 0.5}
