{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 41, 'rot0': 38, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': 159.12, 'datetime': '2018-12-18 18:01:09.579060', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.57, 'time': 9.39, 'compass': 8.86, 'pitch': 1.12, 'roll': 1.0}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 42, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': 155.86, 'datetime': '2018-12-18 18:01:09.787292', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.21, 'flw0': 0.55, 'time': 9.6, 'compass': 5.61, 'pitch': 1.18, 'roll': 1.07}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.33, 'state': 'normal', 'rot1': 43, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 152.37, 'datetime': '2018-12-18 18:01:09.998720', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.0, 'flw0': 0.15, 'time': 9.81, 'compass': 2.11, 'pitch': 1.17, 'roll': 1.14}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.55, 'state': 'normal', 'rot1': 43, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 149.27, 'datetime': '2018-12-18 18:01:10.206852', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.12, 'flw0': 0.2, 'time': 10.02, 'compass': -0.99, 'pitch': 1.1, 'roll': 1.35}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.21, 'state': 'normal', 'rot1': 43, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': 146.58, 'datetime': '2018-12-18 18:01:10.413593', 'mgs': 0, 'flw2': 0.22, 'flw1': 0.0, 'flw0': 0.0, 'time': 10.23, 'compass': -3.67, 'pitch': 1.03, 'roll': 1.67}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 43, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': 144.3, 'datetime': '2018-12-18 18:01:10.621415', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.18, 'flw0': 0.21, 'time': 10.44, 'compass': -5.95, 'pitch': 1.03, 'roll': 1.83}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.41, 'state': 'normal', 'rot1': 43, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 142.14, 'datetime': '2018-12-18 18:01:10.830429', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 0.0, 'time': 10.64, 'compass': -8.11, 'pitch': 1.1, 'roll': 1.87}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.29, 'state': 'normal', 'rot1': 43, 'rot0': 40, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 140.19, 'datetime': '2018-12-18 18:01:11.039366', 'mgs': 0, 'flw2': 0.55, 'flw1': 0.41, 'flw0': 0.43, 'time': 10.85, 'compass': -10.07, 'pitch': 1.12, 'roll': 1.89}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 12.31, 'state': 'normal', 'rot1': 44, 'rot0': 41, 'rot3': 0, 'rot2': 0, 'depth': -1.437, 'yaw': 139.21, 'datetime': '2018-12-18 18:01:11.248377', 'mgs': 0, 'flw2': 0.35, 'flw1': 0.47, 'flw0': 0.35, 'time': 11.06, 'compass': -11.05, 'pitch': 1.28, 'roll': 1.8}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 45, 'rot0': 42, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 139.03, 'datetime': '2018-12-18 18:01:11.458042', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.6, 'time': 11.27, 'compass': -11.22, 'pitch': 1.55, 'roll': 1.8}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 46, 'rot0': 42, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': 139.54, 'datetime': '2018-12-18 18:01:11.666787', 'mgs': 0, 'flw2': 0.38, 'flw1': 0.0, 'flw0': 0.55, 'time': 11.48, 'compass': -10.71, 'pitch': 1.8, 'roll': 1.84}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 47, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 140.45, 'datetime': '2018-12-18 18:01:11.876843', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.23, 'flw0': 0.5, 'time': 11.69, 'compass': -9.81, 'pitch': 1.8, 'roll': 2.04}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 12.19, 'state': 'normal', 'rot1': 48, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 141.9, 'datetime': '2018-12-18 18:01:12.084820', 'mgs': 0, 'flw2': 0.04, 'flw1': 0.26, 'flw0': 0.5, 'time': 11.9, 'compass': -8.36, 'pitch': 1.67, 'roll': 2.25}
{'lipoC2': 0.12, 'temp': 0.0, 'lipoC3S3': 12.12, 'state': 'normal', 'rot1': 48, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': 143.73, 'datetime': '2018-12-18 18:01:12.289930', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.21, 'time': 12.1, 'compass': -6.53, 'pitch': 1.65, 'roll': 2.3}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.56, 'state': 'normal', 'rot1': 48, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 145.49, 'datetime': '2018-12-18 18:01:12.502376', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.35, 'flw0': 0.0, 'time': 12.31, 'compass': -4.76, 'pitch': 1.72, 'roll': 2.12}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 48, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 147.0, 'datetime': '2018-12-18 18:01:12.707850', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.23, 'flw0': 0.0, 'time': 12.52, 'compass': -3.25, 'pitch': 1.77, 'roll': 1.77}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 12.38, 'state': 'normal', 'rot1': 48, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': 148.34, 'datetime': '2018-12-18 18:01:12.921149', 'mgs': 0, 'flw2': 0.1, 'flw1': 0.0, 'flw0': 0.09, 'time': 12.73, 'compass': -1.91, 'pitch': 1.74, 'roll': 1.58}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 48, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 150.15, 'datetime': '2018-12-18 18:01:13.233644', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.0, 'time': 13.04, 'compass': -0.11, 'pitch': 1.43, 'roll': 1.59}
{'lipoC2': 0.02, 'temp': 0.0, 'lipoC3S3': 12.18, 'state': 'normal', 'rot1': 48, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': 151.29, 'datetime': '2018-12-18 18:01:13.440118', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.29, 'flw0': 0.13, 'time': 13.25, 'compass': 1.03, 'pitch': 1.48, 'roll': 1.74}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 12.3, 'state': 'normal', 'rot1': 48, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': 152.05, 'datetime': '2018-12-18 18:01:13.651728', 'mgs': 0, 'flw2': 0.05, 'flw1': 0.0, 'flw0': 0.13, 'time': 13.46, 'compass': 1.8, 'pitch': 1.76, 'roll': 1.88}
