{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 11.83, 'state': 'normal', 'rot1': 29, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': 0.851, 'yaw': 143.96, 'datetime': '2018-12-18 20:59:31.318133', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 0.0, 'time': 6.47, 'compass': -3.88, 'pitch': -2.82, 'roll': 2.51}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.84, 'state': 'normal', 'rot1': 29, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 149.31, 'datetime': '2018-12-18 20:59:31.523779', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.0, 'time': 6.68, 'compass': 1.47, 'pitch': -2.8, 'roll': 2.53}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.8, 'state': 'normal', 'rot1': 29, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 154.4, 'datetime': '2018-12-18 20:59:31.732728', 'mgs': 0, 'flw2': 0.12, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.89, 'compass': 6.56, 'pitch': -2.92, 'roll': 2.4}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.75, 'state': 'normal', 'rot1': 29, 'rot0': 44, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': 159.08, 'datetime': '2018-12-18 20:59:31.944748', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.41, 'flw0': 0.34, 'time': 7.09, 'compass': 11.24, 'pitch': -2.88, 'roll': 2.36}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.87, 'state': 'normal', 'rot1': 30, 'rot0': 45, 'rot3': 0, 'rot2': 0, 'depth': -1.666, 'yaw': 162.79, 'datetime': '2018-12-18 20:59:32.152996', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.0, 'flw0': 0.35, 'time': 7.3, 'compass': 14.95, 'pitch': -2.56, 'roll': 2.34}
{'lipoC2': 0.14, 'temp': 0.0, 'lipoC3S3': 11.69, 'state': 'normal', 'rot1': 31, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': 165.46, 'datetime': '2018-12-18 20:59:32.366290', 'mgs': 0, 'flw2': 0.32, 'flw1': 0.0, 'flw0': 0.52, 'time': 7.51, 'compass': 17.62, 'pitch': -2.22, 'roll': 2.47}
{'lipoC2': 0.03, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 32, 'rot0': 47, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 167.59, 'datetime': '2018-12-18 20:59:32.574485', 'mgs': 0, 'flw2': 0.46, 'flw1': 0.15, 'flw0': 0.0, 'time': 7.72, 'compass': 19.76, 'pitch': -2.22, 'roll': 2.89}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 33, 'rot0': 48, 'rot3': 0, 'rot2': 0, 'depth': -1.971, 'yaw': 169.12, 'datetime': '2018-12-18 20:59:32.782995', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.44, 'time': 7.93, 'compass': 21.28, 'pitch': -2.47, 'roll': 3.28}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.76, 'state': 'normal', 'rot1': 34, 'rot0': 49, 'rot3': 0, 'rot2': 0, 'depth': 1.462, 'yaw': 170.12, 'datetime': '2018-12-18 20:59:32.991240', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.0, 'flw0': 0.22, 'time': 8.14, 'compass': 22.29, 'pitch': -2.36, 'roll': 3.33}
{'lipoC2': 0.17, 'temp': 0.0, 'lipoC3S3': 11.76, 'state': 'normal', 'rot1': 35, 'rot0': 50, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': 170.57, 'datetime': '2018-12-18 20:59:33.200692', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.0, 'flw0': 0.52, 'time': 8.35, 'compass': 22.73, 'pitch': -1.77, 'roll': 3.08}
{'lipoC2': 0.16, 'temp': 0.0, 'lipoC3S3': 11.77, 'state': 'normal', 'rot1': 35, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 170.56, 'datetime': '2018-12-18 20:59:33.410051', 'mgs': 0, 'flw2': 0.35, 'flw1': 0.0, 'flw0': 0.51, 'time': 8.56, 'compass': 22.72, 'pitch': -1.47, 'roll': 2.76}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 37, 'rot0': 52, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': 170.07, 'datetime': '2018-12-18 20:59:33.617222', 'mgs': 0, 'flw2': 0.32, 'flw1': 0.47, 'flw0': 0.31, 'time': 8.77, 'compass': 22.24, 'pitch': -2.11, 'roll': 2.69}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 38, 'rot0': 53, 'rot3': 0, 'rot2': 0, 'depth': 1.004, 'yaw': 169.13, 'datetime': '2018-12-18 20:59:33.832248', 'mgs': 0, 'flw2': 0.48, 'flw1': 0.09, 'flw0': 0.01, 'time': 8.98, 'compass': 21.3, 'pitch': -2.76, 'roll': 2.65}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 38, 'rot0': 54, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 167.83, 'datetime': '2018-12-18 20:59:34.041466', 'mgs': 0, 'flw2': 0.48, 'flw1': 0.06, 'flw0': 0.02, 'time': 9.18, 'compass': 19.99, 'pitch': -2.35, 'roll': 2.58}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 11.94, 'state': 'normal', 'rot1': 39, 'rot0': 54, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 166.28, 'datetime': '2018-12-18 20:59:34.248291', 'mgs': 0, 'flw2': 0.5, 'flw1': 0.0, 'flw0': 0.04, 'time': 9.39, 'compass': 18.44, 'pitch': -1.47, 'roll': 2.54}
{'lipoC2': 0.09, 'temp': 0.0, 'lipoC3S3': 11.68, 'state': 'normal', 'rot1': 40, 'rot0': 55, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 164.3, 'datetime': '2018-12-18 20:59:34.458191', 'mgs': 0, 'flw2': 0.44, 'flw1': 0.23, 'flw0': 0.12, 'time': 9.6, 'compass': 16.47, 'pitch': -1.46, 'roll': 2.49}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 42, 'rot0': 57, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 160.77, 'datetime': '2018-12-18 20:59:34.763991', 'mgs': 0, 'flw2': 0.48, 'flw1': 0.0, 'flw0': 0.01, 'time': 9.91, 'compass': 12.93, 'pitch': -2.96, 'roll': 2.38}
{'lipoC2': 0.15, 'temp': 0.0, 'lipoC3S3': 11.85, 'state': 'normal', 'rot1': 43, 'rot0': 58, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': 158.08, 'datetime': '2018-12-18 20:59:34.973656', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.47, 'flw0': 0.33, 'time': 10.12, 'compass': 10.24, 'pitch': -2.88, 'roll': 1.98}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.79, 'state': 'normal', 'rot1': 44, 'rot0': 58, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 155.17, 'datetime': '2018-12-18 20:59:35.182571', 'mgs': 0, 'flw2': 0.33, 'flw1': 0.47, 'flw0': 0.28, 'time': 10.33, 'compass': 7.33, 'pitch': -1.86, 'roll': 1.59}
{'lipoC2': 0.08, 'temp': 0.0, 'lipoC3S3': 11.89, 'state': 'normal', 'rot1': 44, 'rot0': 59, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 152.19, 'datetime': '2018-12-18 20:59:35.391814', 'mgs': 0, 'flw2': 0.52, 'flw1': 0.0, 'flw0': 0.31, 'time': 10.54, 'compass': 4.35, 'pitch': -1.38, 'roll': 1.45}
{'lipoC2': 0.11, 'temp': 0.0, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 45, 'rot0': 60, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': 149.02, 'datetime': '2018-12-18 20:59:35.599396', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.23, 'flw0': 0.16, 'time': 10.75, 'compass': 1.19, 'pitch': -1.91, 'roll': 1.46}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.06, 'state': 'normal', 'rot1': 45, 'rot0': 60, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 146.33, 'datetime': '2018-12-18 20:59:35.808375', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 10.96, 'compass': -1.51, 'pitch': -2.62, 'roll': 1.59}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 11.93, 'state': 'normal', 'rot1': 45, 'rot0': 60, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': 143.95, 'datetime': '2018-12-18 20:59:36.017809', 'mgs': 0, 'flw2': 0.18, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.17, 'compass': -3.89, 'pitch': -2.55, 'roll': 1.5}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 45, 'rot0': 60, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 141.82, 'datetime': '2018-12-18 20:59:36.231431', 'mgs': 0, 'flw2': 0.07, 'flw1': 0.32, 'flw0': 0.0, 'time': 11.38, 'compass': -6.01, 'pitch': -1.92, 'roll': 1.35}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.9, 'state': 'normal', 'rot1': 45, 'rot0': 60, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': 139.96, 'datetime': '2018-12-18 20:59:36.436179', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 11.59, 'compass': -7.88, 'pitch': -1.59, 'roll': 1.29}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 45, 'rot0': 60, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': 138.12, 'datetime': '2018-12-18 20:59:36.650796', 'mgs': 0, 'flw2': 0.11, 'flw1': 0.29, 'flw0': 0.0, 'time': 11.79, 'compass': -9.71, 'pitch': -1.81, 'roll': 1.24}
