{'lipoC2': 8.13, 'temp': 0.0, 'lipoC3S3': 12.39, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -7.06, 'datetime': '2018-12-12 10:35:06.127788', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 7.81, 'compass': -148.46, 'pitch': -1.38, 'roll': 3.63}
{'lipoC2': 8.35, 'temp': 0.0, 'lipoC3S3': 12.22, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': -7.34, 'datetime': '2018-12-12 10:35:06.432539', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.31, 'time': 8.13, 'compass': -148.75, 'pitch': -0.88, 'roll': 3.46}
{'lipoC2': 8.4, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': -7.51, 'datetime': '2018-12-12 10:35:06.640885', 'mgs': 0, 'flw2': 0.32, 'flw1': 0.0, 'flw0': 0.09, 'time': 8.33, 'compass': -148.92, 'pitch': -0.5, 'roll': 3.24}
{'lipoC2': 8.12, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 2.454, 'yaw': -7.64, 'datetime': '2018-12-12 10:35:06.848876', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.53, 'flw0': 0.0, 'time': 8.54, 'compass': -149.05, 'pitch': -0.77, 'roll': 3.07}
{'lipoC2': 8.09, 'temp': 0.0, 'lipoC3S3': 12.13, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -7.79, 'datetime': '2018-12-12 10:35:07.057627', 'mgs': 0, 'flw2': 0.15, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.75, 'compass': -149.2, 'pitch': -0.92, 'roll': 2.92}
{'lipoC2': 8.1, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -7.96, 'datetime': '2018-12-12 10:35:07.266576', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.12, 'time': 8.96, 'compass': -149.37, 'pitch': -0.69, 'roll': 2.92}
{'lipoC2': 8.4, 'temp': 0.0, 'lipoC3S3': 12.23, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': 0.241, 'yaw': -8.11, 'datetime': '2018-12-12 10:35:07.475359', 'mgs': 0, 'flw2': 0.31, 'flw1': 0.0, 'flw0': 0.09, 'time': 9.17, 'compass': -149.52, 'pitch': -0.98, 'roll': 2.92}
{'lipoC2': 8.35, 'temp': 0.0, 'lipoC3S3': 12.25, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -8.17, 'datetime': '2018-12-12 10:35:07.683867', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.5, 'flw0': 0.0, 'time': 9.38, 'compass': -149.58, 'pitch': -1.65, 'roll': 3.09}
{'lipoC2': 8.21, 'temp': 0.0, 'lipoC3S3': 12.17, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -8.18, 'datetime': '2018-12-12 10:35:07.894637', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.67, 'flw0': 0.0, 'time': 9.58, 'compass': -149.59, 'pitch': -1.7, 'roll': 3.3}
{'lipoC2': 8.11, 'temp': 0.0, 'lipoC3S3': 12.09, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -8.25, 'datetime': '2018-12-12 10:35:08.101514', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.59, 'flw0': 0.0, 'time': 9.79, 'compass': -149.66, 'pitch': -1.2, 'roll': 3.58}
