{'lipoC2': 7.41, 'temp': 0.0, 'lipoC3S3': 10.93, 'state': 'normal', 'rot1': 58, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -100.45, 'datetime': '2018-12-12 14:38:48.993307', 'mgs': 0, 'flw2': 5.9, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.44, 'compass': -101.45, 'pitch': 1.95, 'roll': -2.16}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 10.97, 'state': 'normal', 'rot1': 58, 'rot0': 54, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': -96.34, 'datetime': '2018-12-12 14:38:49.198088', 'mgs': 0, 'flw2': 5.66, 'flw1': 0.0, 'flw0': 1.46, 'time': 8.65, 'compass': -97.34, 'pitch': 0.38, 'roll': -0.52}
{'lipoC2': 7.14, 'temp': 0.0, 'lipoC3S3': 11.11, 'state': 'normal', 'rot1': 61, 'rot0': 57, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': -92.34, 'datetime': '2018-12-12 14:38:49.408552', 'mgs': 0, 'flw2': 5.87, 'flw1': 0.56, 'flw0': 6.57, 'time': 8.85, 'compass': -93.34, 'pitch': 1.33, 'roll': 0.74}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 10.94, 'state': 'normal', 'rot1': 64, 'rot0': 60, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -91.77, 'datetime': '2018-12-12 14:38:49.616065', 'mgs': 0, 'flw2': 5.92, 'flw1': 0.0, 'flw0': 6.51, 'time': 9.06, 'compass': -92.78, 'pitch': 4.1, 'roll': 0.82}
{'lipoC2': 7.47, 'temp': 0.0, 'lipoC3S3': 11.02, 'state': 'normal', 'rot1': 67, 'rot0': 64, 'rot3': 0, 'rot2': 0, 'depth': 0.546, 'yaw': -92.56, 'datetime': '2018-12-12 14:38:49.825854', 'mgs': 0, 'flw2': 6.26, 'flw1': 0.0, 'flw0': 6.47, 'time': 9.27, 'compass': -93.57, 'pitch': 5.58, 'roll': 0.41}
{'lipoC2': 7.21, 'temp': 0.0, 'lipoC3S3': 11.07, 'state': 'normal', 'rot1': 70, 'rot0': 67, 'rot3': 0, 'rot2': 0, 'depth': 1.996, 'yaw': -93.36, 'datetime': '2018-12-12 14:38:50.037391', 'mgs': 0, 'flw2': 5.9, 'flw1': 0.18, 'flw0': 6.88, 'time': 9.48, 'compass': -94.36, 'pitch': 5.79, 'roll': -0.11}
{'lipoC2': 7.41, 'temp': 0.0, 'lipoC3S3': 10.97, 'state': 'normal', 'rot1': 73, 'rot0': 70, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': -94.41, 'datetime': '2018-12-12 14:38:50.246482', 'mgs': 0, 'flw2': 5.88, 'flw1': 0.0, 'flw0': 7.2, 'time': 9.69, 'compass': -95.41, 'pitch': 5.67, 'roll': -0.54}
{'lipoC2': 7.12, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 77, 'rot0': 74, 'rot3': 0, 'rot2': 0, 'depth': 0.699, 'yaw': -95.5, 'datetime': '2018-12-12 14:38:50.456155', 'mgs': 0, 'flw2': 5.76, 'flw1': 0.0, 'flw0': 6.53, 'time': 9.9, 'compass': -96.5, 'pitch': 5.84, 'roll': -1.06}
{'lipoC2': 7.48, 'temp': 0.0, 'lipoC3S3': 10.97, 'state': 'normal', 'rot1': 80, 'rot0': 77, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -96.54, 'datetime': '2018-12-12 14:38:50.664449', 'mgs': 0, 'flw2': 6.08, 'flw1': 0.0, 'flw0': 0.85, 'time': 10.11, 'compass': -97.54, 'pitch': 5.95, 'roll': -1.07}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.42, 'state': 'normal', 'rot1': 81, 'rot0': 80, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -95.41, 'datetime': '2018-12-12 14:38:50.872265', 'mgs': 0, 'flw2': 5.97, 'flw1': 0.0, 'flw0': 0.67, 'time': 10.32, 'compass': -96.42, 'pitch': 4.46, 'roll': -0.27}
{'lipoC2': 7.43, 'temp': 0.0, 'lipoC3S3': 11.02, 'state': 'normal', 'rot1': 83, 'rot0': 83, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -91.23, 'datetime': '2018-12-12 14:38:51.079841', 'mgs': 0, 'flw2': 5.73, 'flw1': 0.0, 'flw0': 0.94, 'time': 10.52, 'compass': -92.23, 'pitch': 2.4, 'roll': 1.11}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 10.73, 'state': 'normal', 'rot1': 85, 'rot0': 86, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -85.9, 'datetime': '2018-12-12 14:38:51.288529', 'mgs': 0, 'flw2': 6.16, 'flw1': 0.0, 'flw0': 6.53, 'time': 10.73, 'compass': -86.9, 'pitch': 2.35, 'roll': 2.15}
{'lipoC2': 7.22, 'temp': 0.0, 'lipoC3S3': 11.0, 'state': 'normal', 'rot1': 89, 'rot0': 89, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': -83.07, 'datetime': '2018-12-12 14:38:51.497746', 'mgs': 0, 'flw2': 5.82, 'flw1': 0.0, 'flw0': 6.92, 'time': 10.94, 'compass': -84.07, 'pitch': 4.67, 'roll': 2.54}
