{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.73, 'state': 'normal', 'rot1': 10, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': -46.7, 'datetime': '2018-12-18 20:46:20.761724', 'mgs': 0, 'flw2': 0.06, 'flw1': 0.35, 'flw0': 0.0, 'time': 6.45, 'compass': -52.97, 'pitch': 2.11, 'roll': 1.52}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 10, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': -51.45, 'datetime': '2018-12-18 20:46:20.970914', 'mgs': 0, 'flw2': 0.09, 'flw1': 0.44, 'flw0': 2.16, 'time': 6.66, 'compass': -57.72, 'pitch': 1.91, 'roll': 0.63}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.8, 'state': 'normal', 'rot1': 12, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -57.1, 'datetime': '2018-12-18 20:46:21.178737', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.41, 'flw0': 0.0, 'time': 6.87, 'compass': -63.37, 'pitch': 2.31, 'roll': -0.58}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.05, 'state': 'normal', 'rot1': 12, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -62.88, 'datetime': '2018-12-18 20:46:21.387546', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.2, 'time': 7.08, 'compass': -69.15, 'pitch': 2.81, 'roll': -1.1}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.08, 'state': 'normal', 'rot1': 12, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 1.385, 'yaw': -68.21, 'datetime': '2018-12-18 20:46:21.595031', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.44, 'flw0': 0.0, 'time': 7.28, 'compass': -74.48, 'pitch': 2.57, 'roll': -0.72}
{'lipoC2': 0.04, 'temp': 0.0, 'lipoC3S3': 11.68, 'state': 'normal', 'rot1': 12, 'rot0': 10, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -73.05, 'datetime': '2018-12-18 20:46:21.805308', 'mgs': 0, 'flw2': 0.16, 'flw1': 0.09, 'flw0': 0.0, 'time': 7.49, 'compass': -79.32, 'pitch': 1.92, 'roll': 0.11}
{'lipoC2': 0.1, 'temp': 0.0, 'lipoC3S3': 11.88, 'state': 'normal', 'rot1': 12, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': -2.124, 'yaw': -77.27, 'datetime': '2018-12-18 20:46:22.014401', 'mgs': 0, 'flw2': 2.78, 'flw1': 0.0, 'flw0': 0.5, 'time': 7.7, 'compass': -83.53, 'pitch': 1.88, 'roll': 0.78}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 11.76, 'state': 'normal', 'rot1': 14, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': -1.132, 'yaw': -79.73, 'datetime': '2018-12-18 20:46:22.223496', 'mgs': 0, 'flw2': 2.8, 'flw1': 0.26, 'flw0': 2.67, 'time': 7.91, 'compass': -86.0, 'pitch': 4.18, 'roll': 0.87}
{'lipoC2': 0.05, 'temp': 0.0, 'lipoC3S3': 11.92, 'state': 'normal', 'rot1': 16, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -2.048, 'yaw': -82.46, 'datetime': '2018-12-18 20:46:22.431526', 'mgs': 0, 'flw2': 2.54, 'flw1': 0.5, 'flw0': 2.84, 'time': 8.12, 'compass': -88.72, 'pitch': 6.67, 'roll': 0.37}
{'lipoC2': 0.0, 'temp': 0.0, 'lipoC3S3': 12.0, 'state': 'normal', 'rot1': 19, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': -2.048, 'yaw': -85.18, 'datetime': '2018-12-18 20:46:22.640645', 'mgs': 0, 'flw2': 2.86, 'flw1': 0.0, 'flw0': 2.66, 'time': 8.33, 'compass': -91.45, 'pitch': 6.53, 'roll': -0.28}
