{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:15.488758', 'pitch': 4.18, 'rot1': 10, 'rot0': 15, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.97, 'cur2': 0.38, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -178.7, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.129, 'time': 8.14, 'thr2': 32.0, 'yaw': -36.51, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:15.815410', 'pitch': 4.26, 'rot1': 13, 'rot0': 20, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.0, 'cur2': 0.39, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -178.74, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.119, 'time': 8.46, 'thr2': 32.0, 'yaw': -36.55, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:16.135012', 'pitch': 4.31, 'rot1': 16, 'rot0': 25, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 3.0, 'cur2': 0.38, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -178.75, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 8.78, 'thr2': 32.0, 'yaw': -36.56, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:16.461579', 'pitch': 4.51, 'rot1': 21, 'rot0': 30, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.99, 'cur2': 0.39, 'cur0': 0.33, 'cur1': 0.0, 'mgs': 0, 'compass': -178.52, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.129, 'time': 9.11, 'thr2': 32.0, 'yaw': -36.33, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:16.782568', 'pitch': 4.9, 'rot1': 23, 'rot0': 36, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.56, 'cur2': 0.38, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -173.88, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 33.0, 'depth': 0.129, 'time': 9.43, 'thr2': 32.0, 'yaw': -31.69, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:17.102768', 'pitch': 5.15, 'rot1': 24, 'rot0': 40, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.16, 'cur2': 0.38, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -163.59, 'lipoC2': 0.0, 'temp': 24.63, 'thr3': 32.0, 'depth': 0.129, 'time': 9.75, 'thr2': 32.0, 'yaw': -21.4, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:17.427056', 'pitch': 5.18, 'rot1': 28, 'rot0': 47, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.81, 'cur2': 0.39, 'cur0': 0.33, 'cur1': 0.0, 'mgs': 0, 'compass': -151.35, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 10.07, 'thr2': 32.0, 'yaw': -9.16, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:17.746629', 'pitch': 4.68, 'rot1': 30, 'rot0': 51, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 2.01, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -143.12, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 10.39, 'thr2': 32.0, 'yaw': -0.93, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:18.071719', 'pitch': 4.84, 'rot1': 30, 'rot0': 51, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.82, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': -136.38, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 10.71, 'thr2': 32.0, 'yaw': 5.81, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:18.385770', 'pitch': 5.01, 'rot1': 32, 'rot0': 53, 'rot3': 2, 'rot2': 11, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.49, 'cur2': 0.43, 'cur0': 0.38, 'cur1': 0.0, 'mgs': 0, 'compass': -126.63, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 11.03, 'thr2': 32.0, 'yaw': 15.56, 'thr0': 27.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:18.708280', 'pitch': 4.86, 'rot1': 37, 'rot0': 59, 'rot3': 2, 'rot2': 13, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.23, 'cur2': 0.4, 'cur0': 0.37, 'cur1': 0.0, 'mgs': 0, 'compass': -113.99, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 11.36, 'thr2': 33.0, 'yaw': 28.2, 'thr0': 27.0, 'thr1': 28.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:19.028344', 'pitch': 4.77, 'rot1': 42, 'rot0': 64, 'rot3': 2, 'rot2': 14, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.27, 'cur2': 0.38, 'cur0': 0.38, 'cur1': 0.0, 'mgs': 0, 'compass': -103.49, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 32.0, 'depth': 0.119, 'time': 11.68, 'thr2': 32.0, 'yaw': 38.7, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:19.350706', 'pitch': 4.5, 'rot1': 47, 'rot0': 69, 'rot3': 2, 'rot2': 15, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.45, 'cur2': 0.4, 'cur0': 0.33, 'cur1': 0.0, 'mgs': 0, 'compass': -96.66, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 12.0, 'thr2': 33.0, 'yaw': 45.53, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:19.677500', 'pitch': 4.16, 'rot1': 52, 'rot0': 76, 'rot3': 3, 'rot2': 17, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.71, 'cur2': 0.4, 'cur0': 0.34, 'cur1': 0.0, 'mgs': 0, 'compass': -95.03, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 12.32, 'thr2': 33.0, 'yaw': 47.16, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:20.000996', 'pitch': 4.21, 'rot1': 55, 'rot0': 84, 'rot3': 3, 'rot2': 17, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.8, 'cur2': 0.38, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -95.68, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 12.64, 'thr2': 32.0, 'yaw': 46.51, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:20.321506', 'pitch': 4.18, 'rot1': 61, 'rot0': 91, 'rot3': 3, 'rot2': 18, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.8, 'cur2': 0.39, 'cur0': 0.38, 'cur1': 0.0, 'mgs': 0, 'compass': -95.31, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 12.96, 'thr2': 32.0, 'yaw': 46.88, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:20.646195', 'pitch': 4.15, 'rot1': 66, 'rot0': 95, 'rot3': 3, 'rot2': 18, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.78, 'cur2': 0.39, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -94.8, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.119, 'time': 13.28, 'thr2': 32.0, 'yaw': 47.39, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:20.962497', 'pitch': 3.97, 'rot1': 70, 'rot0': 101, 'rot3': 3, 'rot2': 18, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.82, 'cur2': 0.39, 'cur0': 0.35, 'cur1': 0.0, 'mgs': 0, 'compass': -94.25, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 13.6, 'thr2': 32.0, 'yaw': 47.94, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:21.290704', 'pitch': 4.0, 'rot1': 75, 'rot0': 106, 'rot3': 3, 'rot2': 18, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.77, 'cur2': 0.38, 'cur0': 0.37, 'cur1': 0.0, 'mgs': 0, 'compass': -92.42, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.119, 'time': 13.93, 'thr2': 32.0, 'yaw': 49.77, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-03-01 09:21:21.615297', 'pitch': 4.13, 'rot1': 80, 'rot0': 112, 'rot3': 3, 'rot2': 18, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.63, 'cur2': 0.39, 'cur0': 0.37, 'cur1': 0.0, 'mgs': 0, 'compass': -88.07, 'lipoC2': 0.0, 'temp': 24.64, 'thr3': 33.0, 'depth': 0.129, 'time': 14.25, 'thr2': 32.0, 'yaw': 54.12, 'thr0': 27.0, 'thr1': 27.0}
