{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 0.0, 'datetime': '2018-12-12 14:17:06.573691', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.38, 'flw0': 0.0, 'time': 1.26, 'compass': -28.14, 'pitch': -1.29, 'roll': 0.57}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 3, 'rot0': 5, 'rot3': 0, 'rot2': 0, 'depth': 1.157, 'yaw': 4.54, 'datetime': '2018-12-12 14:17:08.857775', 'mgs': 0, 'flw2': 1.17, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.54, 'compass': -23.6, 'pitch': 0.89, 'roll': 1.09}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.56, 'state': 'normal', 'rot1': 4, 'rot0': 7, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': 7.66, 'datetime': '2018-12-12 14:17:09.066817', 'mgs': 0, 'flw2': 1.77, 'flw1': 0.64, 'flw0': 0.11, 'time': 3.75, 'compass': -20.48, 'pitch': 0.58, 'roll': 1.17}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 5, 'rot0': 9, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 12.03, 'datetime': '2018-12-12 14:17:09.274479', 'mgs': 0, 'flw2': 2.09, 'flw1': 0.0, 'flw0': 0.56, 'time': 3.95, 'compass': -16.11, 'pitch': -0.02, 'roll': 1.57}
{'lipoC2': 7.55, 'temp': 0.0, 'lipoC3S3': 11.32, 'state': 'normal', 'rot1': 6, 'rot0': 11, 'rot3': 0, 'rot2': 0, 'depth': -0.827, 'yaw': 17.27, 'datetime': '2018-12-12 14:17:09.485802', 'mgs': 0, 'flw2': 0.59, 'flw1': 0.0, 'flw0': 0.49, 'time': 4.16, 'compass': -10.88, 'pitch': 0.27, 'roll': 1.7}
{'lipoC2': 7.5, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 7, 'rot0': 12, 'rot3': 0, 'rot2': 0, 'depth': -1.285, 'yaw': 21.76, 'datetime': '2018-12-12 14:17:09.696133', 'mgs': 0, 'flw2': 0.87, 'flw1': 0.0, 'flw0': 0.71, 'time': 4.37, 'compass': -6.38, 'pitch': 0.41, 'roll': 1.5}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 8, 'rot0': 14, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 25.45, 'datetime': '2018-12-12 14:17:09.903691', 'mgs': 0, 'flw2': 0.34, 'flw1': 0.56, 'flw0': 0.66, 'time': 4.58, 'compass': -2.7, 'pitch': -0.3, 'roll': 1.26}
{'lipoC2': 7.28, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 10, 'rot0': 15, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': 28.01, 'datetime': '2018-12-12 14:17:10.113114', 'mgs': 0, 'flw2': 0.29, 'flw1': 0.29, 'flw0': 0.77, 'time': 4.79, 'compass': -0.14, 'pitch': -1.05, 'roll': 1.03}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.22, 'state': 'normal', 'rot1': 12, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -0.446, 'yaw': 29.38, 'datetime': '2018-12-12 14:17:10.320810', 'mgs': 0, 'flw2': 0.37, 'flw1': 0.0, 'flw0': 1.98, 'time': 5.0, 'compass': 1.24, 'pitch': -0.93, 'roll': 0.63}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.32, 'state': 'normal', 'rot1': 14, 'rot0': 16, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 28.78, 'datetime': '2018-12-12 14:17:10.529943', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 1.57, 'time': 5.21, 'compass': 0.64, 'pitch': -0.23, 'roll': 0.23}
{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.44, 'state': 'normal', 'rot1': 16, 'rot0': 17, 'rot3': 0, 'rot2': 0, 'depth': -0.293, 'yaw': 26.51, 'datetime': '2018-12-12 14:17:10.738340', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.47, 'flw0': 1.75, 'time': 5.41, 'compass': -1.64, 'pitch': -0.07, 'roll': -0.0}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 18, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': 23.69, 'datetime': '2018-12-12 14:17:10.947260', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.0, 'flw0': 1.83, 'time': 5.62, 'compass': -4.45, 'pitch': -0.42, 'roll': 0.06}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.67, 'state': 'normal', 'rot1': 20, 'rot0': 18, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': 19.56, 'datetime': '2018-12-12 14:17:11.156383', 'mgs': 0, 'flw2': 0.43, 'flw1': 0.0, 'flw0': 1.77, 'time': 5.83, 'compass': -8.58, 'pitch': -0.46, 'roll': 0.29}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.43, 'state': 'normal', 'rot1': 22, 'rot0': 19, 'rot3': 0, 'rot2': 0, 'depth': 0.775, 'yaw': 15.23, 'datetime': '2018-12-12 14:17:11.365440', 'mgs': 0, 'flw2': 0.46, 'flw1': 0.0, 'flw0': 1.94, 'time': 6.04, 'compass': -12.91, 'pitch': -0.21, 'roll': 0.32}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 24, 'rot0': 20, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': 10.27, 'datetime': '2018-12-12 14:17:11.573258', 'mgs': 0, 'flw2': 0.55, 'flw1': 0.0, 'flw0': 1.67, 'time': 6.25, 'compass': -17.87, 'pitch': 0.29, 'roll': -0.06}
{'lipoC2': 7.4, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 26, 'rot0': 21, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': 5.31, 'datetime': '2018-12-12 14:17:11.782601', 'mgs': 0, 'flw2': 0.35, 'flw1': 0.59, 'flw0': 1.76, 'time': 6.46, 'compass': -22.83, 'pitch': 0.39, 'roll': -0.64}
{'lipoC2': 7.51, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 28, 'rot0': 22, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': 0.32, 'datetime': '2018-12-12 14:17:11.991057', 'mgs': 0, 'flw2': 0.94, 'flw1': 0.0, 'flw0': 1.89, 'time': 6.66, 'compass': -27.82, 'pitch': 0.14, 'roll': -0.98}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.089, 'yaw': -4.22, 'datetime': '2018-12-12 14:17:12.200496', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.88, 'compass': -32.36, 'pitch': -0.26, 'roll': -0.98}
{'lipoC2': 7.41, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.928, 'yaw': -8.03, 'datetime': '2018-12-12 14:17:12.409344', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.26, 'flw0': 0.0, 'time': 7.08, 'compass': -36.17, 'pitch': -1.51, 'roll': -0.48}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.6, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -11.49, 'datetime': '2018-12-12 14:17:12.618300', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.29, 'compass': -39.63, 'pitch': -2.11, 'roll': 0.27}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.26, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': -14.66, 'datetime': '2018-12-12 14:17:12.826100', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.56, 'flw0': 0.0, 'time': 7.5, 'compass': -42.8, 'pitch': -1.54, 'roll': 0.46}
{'lipoC2': 7.56, 'temp': 0.0, 'lipoC3S3': 11.31, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': -17.51, 'datetime': '2018-12-12 14:17:13.036040', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.71, 'compass': -45.65, 'pitch': -0.96, 'roll': 0.13}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.68, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -20.08, 'datetime': '2018-12-12 14:17:13.245031', 'mgs': 0, 'flw2': 0.01, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.92, 'compass': -48.22, 'pitch': -1.31, 'roll': -0.45}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.59, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -22.37, 'datetime': '2018-12-12 14:17:13.454348', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.41, 'flw0': 0.0, 'time': 8.13, 'compass': -50.51, 'pitch': -2.03, 'roll': -0.77}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.54, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -24.63, 'datetime': '2018-12-12 14:17:13.663210', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.62, 'flw0': 0.0, 'time': 8.34, 'compass': -52.77, 'pitch': -2.16, 'roll': -0.56}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.98, 'yaw': -26.62, 'datetime': '2018-12-12 14:17:13.873257', 'mgs': 0, 'flw2': 0.21, 'flw1': 0.0, 'flw0': 0.26, 'time': 8.55, 'compass': -54.76, 'pitch': -1.66, 'roll': -0.08}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -28.4, 'datetime': '2018-12-12 14:17:14.080982', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.75, 'compass': -56.55, 'pitch': -0.93, 'roll': 0.39}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 30, 'rot0': 23, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -30.23, 'datetime': '2018-12-12 14:17:14.289799', 'mgs': 0, 'flw2': 0.13, 'flw1': 0.0, 'flw0': 0.26, 'time': 8.96, 'compass': -58.37, 'pitch': -0.55, 'roll': 0.5}
{'lipoC2': 7.52, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 30, 'rot0': 24, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -31.99, 'datetime': '2018-12-12 14:17:14.498891', 'mgs': 0, 'flw2': 0.44, 'flw1': 0.0, 'flw0': 0.43, 'time': 9.17, 'compass': -60.13, 'pitch': -0.96, 'roll': 0.04}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 31, 'rot0': 25, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -33.24, 'datetime': '2018-12-12 14:17:14.707083', 'mgs': 0, 'flw2': 0.68, 'flw1': 0.0, 'flw0': 1.31, 'time': 9.38, 'compass': -61.38, 'pitch': -1.25, 'roll': -0.32}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.63, 'state': 'normal', 'rot1': 32, 'rot0': 26, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -34.82, 'datetime': '2018-12-12 14:17:14.918203', 'mgs': 0, 'flw2': 0.65, 'flw1': 0.0, 'flw0': 1.03, 'time': 9.59, 'compass': -62.96, 'pitch': -0.42, 'roll': -0.7}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.65, 'state': 'normal', 'rot1': 34, 'rot0': 27, 'rot3': 0, 'rot2': 0, 'depth': 1.691, 'yaw': -36.8, 'datetime': '2018-12-12 14:17:15.127626', 'mgs': 0, 'flw2': 1.45, 'flw1': 0.0, 'flw0': 0.79, 'time': 9.8, 'compass': -64.95, 'pitch': 0.82, 'roll': -1.06}
{'lipoC2': 7.42, 'temp': 0.0, 'lipoC3S3': 11.34, 'state': 'normal', 'rot1': 35, 'rot0': 29, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': -38.63, 'datetime': '2018-12-12 14:17:15.335773', 'mgs': 0, 'flw2': 1.78, 'flw1': 0.0, 'flw0': 0.57, 'time': 10.01, 'compass': -66.77, 'pitch': 1.22, 'roll': -0.96}
{'lipoC2': 7.55, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 37, 'rot0': 31, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -39.86, 'datetime': '2018-12-12 14:17:15.544957', 'mgs': 0, 'flw2': 2.65, 'flw1': 0.0, 'flw0': 0.89, 'time': 10.21, 'compass': -68.0, 'pitch': 0.9, 'roll': -0.14}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.36, 'state': 'normal', 'rot1': 38, 'rot0': 34, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -38.4, 'datetime': '2018-12-12 14:17:15.753065', 'mgs': 0, 'flw2': 2.5, 'flw1': 0.0, 'flw0': 0.59, 'time': 10.42, 'compass': -66.55, 'pitch': 0.58, 'roll': 0.77}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.61, 'state': 'normal', 'rot1': 40, 'rot0': 36, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -35.96, 'datetime': '2018-12-12 14:17:15.963206', 'mgs': 0, 'flw2': 2.55, 'flw1': 0.44, 'flw0': 0.71, 'time': 10.63, 'compass': -64.11, 'pitch': 0.56, 'roll': 1.09}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.64, 'state': 'normal', 'rot1': 42, 'rot0': 39, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -33.01, 'datetime': '2018-12-12 14:17:16.172479', 'mgs': 0, 'flw2': 2.58, 'flw1': 0.09, 'flw0': 1.28, 'time': 10.84, 'compass': -61.15, 'pitch': 0.89, 'roll': 0.94}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.54, 'state': 'normal', 'rot1': 43, 'rot0': 41, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -30.42, 'datetime': '2018-12-12 14:17:16.381252', 'mgs': 0, 'flw2': 2.49, 'flw1': 0.35, 'flw0': 1.42, 'time': 11.05, 'compass': -58.56, 'pitch': 1.49, 'roll': 0.55}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.6, 'state': 'normal', 'rot1': 45, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': -28.03, 'datetime': '2018-12-12 14:17:16.591191', 'mgs': 0, 'flw2': 2.61, 'flw1': 0.0, 'flw0': 1.65, 'time': 11.26, 'compass': -56.17, 'pitch': 1.72, 'roll': 0.19}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.42, 'state': 'normal', 'rot1': 47, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'depth': 0.165, 'yaw': -26.28, 'datetime': '2018-12-12 14:17:16.802790', 'mgs': 0, 'flw2': 2.8, 'flw1': 0.0, 'flw0': 1.95, 'time': 11.47, 'compass': -54.42, 'pitch': 1.12, 'roll': -0.01}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.32, 'state': 'normal', 'rot1': 49, 'rot0': 48, 'rot3': 0, 'rot2': 0, 'depth': 1.233, 'yaw': -23.84, 'datetime': '2018-12-12 14:17:17.010691', 'mgs': 0, 'flw2': 2.59, 'flw1': 0.0, 'flw0': 1.68, 'time': 11.67, 'compass': -51.98, 'pitch': 0.41, 'roll': 0.4}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.58, 'state': 'normal', 'rot1': 50, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': 0.47, 'yaw': -21.06, 'datetime': '2018-12-12 14:17:17.219308', 'mgs': 0, 'flw2': 2.56, 'flw1': 0.0, 'flw0': 1.38, 'time': 11.88, 'compass': -49.2, 'pitch': 0.52, 'roll': 1.1}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.51, 'state': 'normal', 'rot1': 52, 'rot0': 54, 'rot3': 0, 'rot2': 0, 'depth': 1.538, 'yaw': -18.36, 'datetime': '2018-12-12 14:17:17.426658', 'mgs': 0, 'flw2': 2.32, 'flw1': 0.62, 'flw0': 1.51, 'time': 12.09, 'compass': -46.5, 'pitch': 0.95, 'roll': 1.24}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 54, 'rot0': 56, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -15.98, 'datetime': '2018-12-12 14:17:17.636416', 'mgs': 0, 'flw2': 2.6, 'flw1': 0.18, 'flw0': 1.61, 'time': 12.3, 'compass': -44.12, 'pitch': 0.95, 'roll': 1.26}
{'lipoC2': 7.54, 'temp': 0.0, 'lipoC3S3': 11.15, 'state': 'normal', 'rot1': 56, 'rot0': 58, 'rot3': 0, 'rot2': 0, 'depth': -1.056, 'yaw': -13.65, 'datetime': '2018-12-12 14:17:17.848356', 'mgs': 0, 'flw2': 2.38, 'flw1': 0.0, 'flw0': 1.81, 'time': 12.51, 'compass': -41.79, 'pitch': 0.89, 'roll': 1.52}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.55, 'state': 'normal', 'rot1': 58, 'rot0': 61, 'rot3': 0, 'rot2': 0, 'depth': -0.369, 'yaw': -11.18, 'datetime': '2018-12-12 14:17:18.054018', 'mgs': 0, 'flw2': 2.59, 'flw1': 0.0, 'flw0': 1.65, 'time': 12.72, 'compass': -39.33, 'pitch': 0.92, 'roll': 1.55}
{'lipoC2': 7.54, 'temp': 0.0, 'lipoC3S3': 11.39, 'state': 'normal', 'rot1': 60, 'rot0': 63, 'rot3': 0, 'rot2': 0, 'depth': 1.843, 'yaw': -8.65, 'datetime': '2018-12-12 14:17:18.265746', 'mgs': 0, 'flw2': 2.47, 'flw1': 0.47, 'flw0': 1.51, 'time': 12.93, 'compass': -36.79, 'pitch': 1.2, 'roll': 1.48}
{'lipoC2': 7.34, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 62, 'rot0': 65, 'rot3': 0, 'rot2': 0, 'depth': 0.012, 'yaw': -5.89, 'datetime': '2018-12-12 14:17:18.470732', 'mgs': 0, 'flw2': 2.86, 'flw1': 0.0, 'flw0': 1.99, 'time': 13.14, 'compass': -34.03, 'pitch': 1.18, 'roll': 1.65}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.51, 'state': 'normal', 'rot1': 64, 'rot0': 67, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -3.42, 'datetime': '2018-12-12 14:17:18.680311', 'mgs': 0, 'flw2': 2.51, 'flw1': 0.0, 'flw0': 1.78, 'time': 13.34, 'compass': -31.57, 'pitch': 1.08, 'roll': 1.84}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 66, 'rot0': 70, 'rot3': 0, 'rot2': 0, 'depth': 1.08, 'yaw': -1.07, 'datetime': '2018-12-12 14:17:18.890772', 'mgs': 0, 'flw2': 2.31, 'flw1': 0.0, 'flw0': 1.56, 'time': 13.55, 'compass': -29.22, 'pitch': 1.28, 'roll': 1.78}
{'lipoC2': 7.5, 'temp': 0.0, 'lipoC3S3': 11.03, 'state': 'normal', 'rot1': 67, 'rot0': 72, 'rot3': 0, 'rot2': 0, 'depth': -1.208, 'yaw': 1.21, 'datetime': '2018-12-12 14:17:19.097979', 'mgs': 0, 'flw2': 2.77, 'flw1': 0.0, 'flw0': 2.17, 'time': 13.76, 'compass': -26.93, 'pitch': 1.6, 'roll': 1.76}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.6, 'state': 'normal', 'rot1': 69, 'rot0': 74, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': 3.28, 'datetime': '2018-12-12 14:17:19.309805', 'mgs': 0, 'flw2': 2.65, 'flw1': 0.18, 'flw0': 2.1, 'time': 13.97, 'compass': -24.86, 'pitch': 1.96, 'roll': 1.75}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 72, 'rot0': 77, 'rot3': 0, 'rot2': 0, 'depth': -0.903, 'yaw': 4.99, 'datetime': '2018-12-12 14:17:19.516362', 'mgs': 0, 'flw2': 2.53, 'flw1': 0.5, 'flw0': 2.19, 'time': 14.18, 'compass': -23.15, 'pitch': 2.14, 'roll': 1.67}
{'lipoC2': 7.56, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 74, 'rot0': 79, 'rot3': 0, 'rot2': 0, 'depth': -0.598, 'yaw': 6.7, 'datetime': '2018-12-12 14:17:19.725596', 'mgs': 0, 'flw2': 2.8, 'flw1': 0.0, 'flw0': 2.71, 'time': 14.39, 'compass': -21.44, 'pitch': 1.95, 'roll': 1.65}
{'lipoC2': 7.56, 'temp': 0.0, 'lipoC3S3': 11.21, 'state': 'normal', 'rot1': 76, 'rot0': 81, 'rot3': 0, 'rot2': 0, 'depth': 1.614, 'yaw': 8.17, 'datetime': '2018-12-12 14:17:19.931354', 'mgs': 0, 'flw2': 2.5, 'flw1': 0.0, 'flw0': 2.8, 'time': 14.6, 'compass': -19.97, 'pitch': 1.89, 'roll': 1.88}
