{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:33.644493', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 45.77, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:33.851771', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 45.98, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:34.061458', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 46.19, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:34.268010', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 46.4, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:34.478276', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 46.61, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:34.687059', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 46.82, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:34.896720', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 47.03, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:35.105281', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 47.24, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:35.312132', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 47.44, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:35.520471', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 47.65, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.31, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:35.731258', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 47.86, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:35.940712', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 48.07, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:36.148309', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 48.28, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:36.356718', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 48.49, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:36.563392', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 48.7, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:36.772415', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 48.91, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:36.981839', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 49.12, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:37.189892', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 49.33, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:37.401354', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 49.54, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:37.610477', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 49.74, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:37.819536', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 49.95, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:38.027683', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 50.16, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:38.236246', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 50.37, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:38.444865', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 50.58, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:38.654643', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 50.79, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
{'lipoC2': 0.0, 'temp': 23.25, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -12.5, 'yaw': -0.01, 'datetime': '2018-11-21 10:47:38.864686', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 51.0, 'compass': 30.01, 'pitch': -80.44, 'roll': -34.68}
