{'lipoC2': 7.29, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 51, 'rot0': 38, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -24.78, 'datetime': '2018-12-12 14:21:47.359011', 'mgs': 0, 'flw2': 0.44, 'flw1': 0.0, 'flw0': 2.69, 'time': 6.47, 'compass': -2.57, 'pitch': 0.91, 'roll': 0.16}
{'lipoC2': 7.46, 'temp': 0.0, 'lipoC3S3': 11.01, 'state': 'normal', 'rot1': 56, 'rot0': 41, 'rot3': 0, 'rot2': 0, 'depth': -1.514, 'yaw': -28.0, 'datetime': '2018-12-12 14:21:47.572919', 'mgs': 0, 'flw2': 2.87, 'flw1': 0.0, 'flw0': 2.8, 'time': 6.67, 'compass': -5.79, 'pitch': 1.19, 'roll': 0.06}
{'lipoC2': 7.55, 'temp': 0.0, 'lipoC3S3': 11.25, 'state': 'normal', 'rot1': 59, 'rot0': 43, 'rot3': 0, 'rot2': 0, 'depth': -2.2, 'yaw': -30.04, 'datetime': '2018-12-12 14:21:47.781913', 'mgs': 0, 'flw2': 2.66, 'flw1': 0.0, 'flw0': 0.52, 'time': 6.88, 'compass': -7.83, 'pitch': 1.64, 'roll': 0.65}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 61, 'rot0': 46, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -30.24, 'datetime': '2018-12-12 14:21:47.992077', 'mgs': 0, 'flw2': 2.42, 'flw1': 0.67, 'flw0': 0.57, 'time': 7.09, 'compass': -8.03, 'pitch': 1.17, 'roll': 1.5}
{'lipoC2': 7.35, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 62, 'rot0': 48, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -29.0, 'datetime': '2018-12-12 14:21:48.198245', 'mgs': 0, 'flw2': 2.91, 'flw1': 0.0, 'flw0': 0.96, 'time': 7.3, 'compass': -6.79, 'pitch': 0.25, 'roll': 2.07}
{'lipoC2': 7.4, 'temp': 0.0, 'lipoC3S3': 11.18, 'state': 'normal', 'rot1': 64, 'rot0': 51, 'rot3': 0, 'rot2': 0, 'depth': -1.59, 'yaw': -26.75, 'datetime': '2018-12-12 14:21:48.406986', 'mgs': 0, 'flw2': 2.58, 'flw1': 0.56, 'flw0': 0.63, 'time': 7.51, 'compass': -4.54, 'pitch': 0.02, 'roll': 2.05}
{'lipoC2': 7.27, 'temp': 0.0, 'lipoC3S3': 11.3, 'state': 'normal', 'rot1': 65, 'rot0': 53, 'rot3': 0, 'rot2': 0, 'depth': -0.674, 'yaw': -23.8, 'datetime': '2018-12-12 14:21:48.618021', 'mgs': 0, 'flw2': 2.29, 'flw1': 0.09, 'flw0': 0.7, 'time': 7.72, 'compass': -1.59, 'pitch': 0.39, 'roll': 1.96}
{'lipoC2': 7.39, 'temp': 0.0, 'lipoC3S3': 11.6, 'state': 'normal', 'rot1': 67, 'rot0': 55, 'rot3': 0, 'rot2': 0, 'depth': 0.317, 'yaw': -20.88, 'datetime': '2018-12-12 14:21:48.826701', 'mgs': 0, 'flw2': 2.72, 'flw1': 0.0, 'flw0': 2.64, 'time': 7.93, 'compass': 1.34, 'pitch': 0.9, 'roll': 1.74}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 70, 'rot0': 58, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -19.1, 'datetime': '2018-12-12 14:21:49.037647', 'mgs': 0, 'flw2': 0.48, 'flw1': 0.03, 'flw0': 2.81, 'time': 8.14, 'compass': 3.11, 'pitch': 1.76, 'roll': 1.27}
{'lipoC2': 7.54, 'temp': 0.0, 'lipoC3S3': 11.32, 'state': 'normal', 'rot1': 72, 'rot0': 59, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -19.06, 'datetime': '2018-12-12 14:21:49.247318', 'mgs': 0, 'flw2': 0.54, 'flw1': 0.0, 'flw0': 2.6, 'time': 8.35, 'compass': 3.15, 'pitch': 1.55, 'roll': 0.69}
{'lipoC2': 7.38, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 75, 'rot0': 60, 'rot3': 0, 'rot2': 0, 'depth': 0.394, 'yaw': -20.47, 'datetime': '2018-12-12 14:21:49.455600', 'mgs': 0, 'flw2': 0.65, 'flw1': 0.0, 'flw0': 2.42, 'time': 8.56, 'compass': 1.74, 'pitch': 0.76, 'roll': 0.07}
{'lipoC2': 7.56, 'temp': 0.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 78, 'rot0': 62, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -22.85, 'datetime': '2018-12-12 14:21:49.663494', 'mgs': 0, 'flw2': 3.11, 'flw1': 0.0, 'flw0': 2.61, 'time': 8.76, 'compass': -0.64, 'pitch': 0.36, 'roll': -0.46}
{'lipoC2': 7.36, 'temp': 0.0, 'lipoC3S3': 11.27, 'state': 'normal', 'rot1': 81, 'rot0': 64, 'rot3': 0, 'rot2': 0, 'depth': -0.522, 'yaw': -24.57, 'datetime': '2018-12-12 14:21:49.873254', 'mgs': 0, 'flw2': 2.75, 'flw1': 0.0, 'flw0': 2.38, 'time': 8.97, 'compass': -2.36, 'pitch': 0.88, 'roll': -0.37}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.6, 'state': 'normal', 'rot1': 84, 'rot0': 66, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -25.54, 'datetime': '2018-12-12 14:21:50.075540', 'mgs': 0, 'flw2': 2.61, 'flw1': 0.76, 'flw0': 2.55, 'time': 9.18, 'compass': -3.33, 'pitch': 1.72, 'roll': 0.42}
{'lipoC2': 7.55, 'temp': 0.0, 'lipoC3S3': 11.13, 'state': 'normal', 'rot1': 87, 'rot0': 69, 'rot3': 0, 'rot2': 0, 'depth': 1.92, 'yaw': -26.42, 'datetime': '2018-12-12 14:21:50.284819', 'mgs': 0, 'flw2': 2.5, 'flw1': 0.0, 'flw0': 2.77, 'time': 9.39, 'compass': -4.21, 'pitch': 1.93, 'roll': 1.14}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.42, 'state': 'normal', 'rot1': 90, 'rot0': 71, 'rot3': 0, 'rot2': 0, 'depth': 2.606, 'yaw': -27.42, 'datetime': '2018-12-12 14:21:50.496768', 'mgs': 0, 'flw2': 2.67, 'flw1': 0.0, 'flw0': 2.84, 'time': 9.6, 'compass': -5.2, 'pitch': 1.81, 'roll': 1.5}
{'lipoC2': 7.37, 'temp': 0.0, 'lipoC3S3': 11.31, 'state': 'normal', 'rot1': 92, 'rot0': 74, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -28.05, 'datetime': '2018-12-12 14:21:50.705428', 'mgs': 0, 'flw2': 2.45, 'flw1': 0.0, 'flw0': 1.0, 'time': 9.81, 'compass': -5.84, 'pitch': 1.22, 'roll': 1.72}
{'lipoC2': 7.26, 'temp': 0.0, 'lipoC3S3': 11.29, 'state': 'normal', 'rot1': 94, 'rot0': 76, 'rot3': 0, 'rot2': 0, 'depth': -0.751, 'yaw': -27.24, 'datetime': '2018-12-12 14:21:50.916946', 'mgs': 0, 'flw2': 2.56, 'flw1': 0.0, 'flw0': 0.7, 'time': 10.02, 'compass': -5.03, 'pitch': 0.35, 'roll': 1.84}
{'lipoC2': 7.53, 'temp': 0.0, 'lipoC3S3': 11.19, 'state': 'normal', 'rot1': 95, 'rot0': 79, 'rot3': 0, 'rot2': 0, 'depth': 1.309, 'yaw': -25.24, 'datetime': '2018-12-12 14:21:51.124152', 'mgs': 0, 'flw2': 2.56, 'flw1': 0.0, 'flw0': 0.62, 'time': 10.22, 'compass': -3.02, 'pitch': 0.32, 'roll': 1.8}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.4, 'state': 'normal', 'rot1': 97, 'rot0': 81, 'rot3': 0, 'rot2': 0, 'depth': 2.072, 'yaw': -22.79, 'datetime': '2018-12-12 14:21:51.333308', 'mgs': 0, 'flw2': 2.5, 'flw1': 0.0, 'flw0': 2.95, 'time': 10.43, 'compass': -0.58, 'pitch': 0.8, 'roll': 1.54}
{'lipoC2': 7.33, 'temp': 0.0, 'lipoC3S3': 11.31, 'state': 'normal', 'rot1': 100, 'rot0': 84, 'rot3': 0, 'rot2': 1, 'depth': 0.623, 'yaw': -21.49, 'datetime': '2018-12-12 14:21:51.541612', 'mgs': 0, 'flw2': 2.6, 'flw1': 2.64, 'flw0': 2.95, 'time': 10.64, 'compass': 0.72, 'pitch': 1.8, 'roll': 0.81}
{'lipoC2': 7.3, 'temp': 0.0, 'lipoC3S3': 11.47, 'state': 'normal', 'rot1': 103, 'rot0': 86, 'rot3': 1, 'rot2': 1, 'depth': 1.996, 'yaw': -20.56, 'datetime': '2018-12-12 14:21:51.752834', 'mgs': 0, 'flw2': 2.67, 'flw1': 0.0, 'flw0': 2.78, 'time': 10.85, 'compass': 1.65, 'pitch': 2.48, 'roll': -0.01}
{'lipoC2': 7.53, 'temp': 0.0, 'lipoC3S3': 11.23, 'state': 'normal', 'rot1': 105, 'rot0': 87, 'rot3': 1, 'rot2': 1, 'depth': -1.361, 'yaw': -19.96, 'datetime': '2018-12-12 14:21:51.965767', 'mgs': 0, 'flw2': 0.61, 'flw1': 0.0, 'flw0': 2.58, 'time': 11.06, 'compass': 2.25, 'pitch': 1.72, 'roll': -0.21}
