{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:01.651561', 'pitch': 1.13, 'rot1': 181, 'rot0': 95, 'rot3': 21, 'rot2': 27, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.93, 'cur0': 0.84, 'cur1': 1.03, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 36.0, 'depth': 0.129, 'time': 8.3, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:01.973989', 'pitch': 1.13, 'rot1': 188, 'rot0': 101, 'rot3': 22, 'rot2': 28, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.93, 'cur0': 0.92, 'cur1': 0.97, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 36.0, 'depth': 0.129, 'time': 8.63, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:02.295942', 'pitch': 1.13, 'rot1': 197, 'rot0': 107, 'rot3': 23, 'rot2': 29, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.95, 'cur0': 0.85, 'cur1': 0.91, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.66, 'thr3': 35.0, 'depth': 0.119, 'time': 8.95, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:02.618579', 'pitch': 1.13, 'rot1': 204, 'rot0': 112, 'rot3': 24, 'rot2': 30, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.94, 'cur0': 0.92, 'cur1': 1.05, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.119, 'time': 9.27, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:02.941326', 'pitch': 1.13, 'rot1': 216, 'rot0': 118, 'rot3': 25, 'rot2': 30, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.96, 'cur0': 0.85, 'cur1': 0.94, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.129, 'time': 9.59, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:03.262935', 'pitch': 1.13, 'rot1': 225, 'rot0': 122, 'rot3': 25, 'rot2': 31, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.99, 'cur0': 0.9, 'cur1': 1.03, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.129, 'time': 9.91, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:03.585247', 'pitch': 1.13, 'rot1': 234, 'rot0': 126, 'rot3': 26, 'rot2': 32, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.92, 'cur0': 0.84, 'cur1': 0.94, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.129, 'time': 10.23, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 28.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:03.909757', 'pitch': 1.13, 'rot1': 241, 'rot0': 132, 'rot3': 27, 'rot2': 33, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.96, 'cur0': 0.92, 'cur1': 1.0, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.119, 'time': 10.55, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:04.229982', 'pitch': 1.13, 'rot1': 246, 'rot0': 137, 'rot3': 28, 'rot2': 34, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.93, 'cur0': 0.85, 'cur1': 0.94, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.129, 'time': 10.88, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:04.553411', 'pitch': 1.13, 'rot1': 253, 'rot0': 145, 'rot3': 29, 'rot2': 35, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.95, 'cur0': 0.79, 'cur1': 1.0, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.119, 'time': 11.2, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:04.875072', 'pitch': 1.13, 'rot1': 264, 'rot0': 150, 'rot3': 29, 'rot2': 36, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.93, 'cur0': 0.81, 'cur1': 0.97, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 36.0, 'depth': 0.119, 'time': 11.52, 'thr2': 32.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:05.198027', 'pitch': 1.13, 'rot1': 271, 'rot0': 153, 'rot3': 30, 'rot2': 37, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.96, 'cur0': 0.79, 'cur1': 1.03, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.119, 'time': 11.84, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:05.520696', 'pitch': 1.13, 'rot1': 279, 'rot0': 156, 'rot3': 31, 'rot2': 38, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 0.94, 'cur0': 0.85, 'cur1': 0.97, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 35.0, 'depth': 0.119, 'time': 12.16, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 09:46:05.842304', 'pitch': 1.13, 'rot1': 287, 'rot0': 161, 'rot3': 32, 'rot2': 39, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.35, 'cur2': 1.01, 'cur0': 0.82, 'cur1': 0.91, 'mgs': 0, 'compass': 3.98, 'lipoC2': 0.0, 'temp': 24.67, 'thr3': 36.0, 'depth': 0.129, 'time': 12.48, 'thr2': 31.0, 'yaw': 0.0, 'thr0': 27.0, 'thr1': 27.0}
