{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:10.970520', 'pitch': -169.21, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.02, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 9.09, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:11.292047', 'pitch': -169.21, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.02, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 9.41, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:11.613799', 'pitch': -169.21, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.01, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 9.74, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:11.936161', 'pitch': -169.21, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.01, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 10.06, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:12.258712', 'pitch': -169.21, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.01, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 10.38, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:12.580089', 'pitch': -169.21, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.01, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 10.7, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:12.903159', 'pitch': -169.21, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 1.0, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.55, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 11.02, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:13.224139', 'pitch': -169.24, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.95, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.54, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.109, 'time': 11.34, 'thr2': 31.0, 'yaw': -39.28, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:13.546377', 'pitch': -169.28, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.86, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 11.66, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
{'lipoC3S3': 0.0, 'datetime': '2019-02-27 10:02:13.868740', 'pitch': -169.3, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw3': 0, 'flw2': 0, 'flw1': 0, 'flw0': 0, 'roll': 0.8, 'cur2': 0.0, 'cur0': 0.0, 'cur1': 0.0, 'mgs': 0, 'compass': 163.56, 'lipoC2': 0.0, 'temp': 24.9, 'thr3': 35.0, 'depth': 0.119, 'time': 11.98, 'thr2': 31.0, 'yaw': -39.27, 'thr0': 26.0, 'thr1': 26.0}
