{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:03.186256', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 6.27, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:03.394448', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 6.48, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:03.603278', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 6.69, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:03.810722', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 6.9, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:04.020162', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 7.11, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:04.228625', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 7.32, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:04.437807', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 7.53, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:04.646577', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 7.73, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:04.854766', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 7.94, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:05.062061', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 8.15, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:05.272036', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 8.36, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:05.484800', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 8.57, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:05.688862', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 8.78, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:05.897993', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.217, 'time': 8.99, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:06.107466', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.14, 'time': 9.2, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:06.315877', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 9.4, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:06.528524', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 9.61, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:06.736308', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.217, 'time': 9.82, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:06.944933', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 10.03, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:07.153406', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.81, 'depth': -0.14, 'time': 10.24, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:07.361419', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.14, 'time': 10.45, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:07.569400', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 10.66, 'yaw': 0.0}
{'lipoC3S3': 12.42, 'datetime': '2018-11-28 11:44:07.776432', 'pitch': 1.61, 'alt': 60.2, 'lng': 127.816161667, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'roll': -3.79, 'mgs': 0, 'compass': -2.49, 'lat': 26.380523333, 'lipoC2': 0.0, 'temp': 29.75, 'depth': -0.217, 'time': 10.87, 'yaw': 0.0}
