{'interval':0.1}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.625359}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.639616}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.642596}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.645599}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.648477}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.662735}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.665771}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.668803}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.671686}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.760279}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.763358}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.766387}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.769279}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.934987}
{'dc_yr': 0, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.938957}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 0, 'dc_xr': 0, 'time': 1542091436.942543}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091436.946128}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091437.100612}
{'dc_yr': -8, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091437.104379}
{'dc_yr': -15, 'dc_xl': 0, 'dc_yl': 8, 'dc_xr': 0, 'time': 1542091437.108004}
{'dc_yr': -15, 'dc_xl': 0, 'dc_yl': 15, 'dc_xr': 0, 'time': 1542091437.111509}
{'dc_yr': -15, 'dc_xl': 0, 'dc_yl': 15, 'dc_xr': 0, 'time': 1542091437.266096}
{'dc_yr': -15, 'dc_xl': 0, 'dc_yl': 15, 'dc_xr': 0, 'time': 1542091437.270136}
{'dc_yr': -22, 'dc_xl': 0, 'dc_yl': 15, 'dc_xr': 0, 'time': 1542091437.273718}
{'dc_yr': -22, 'dc_xl': 0, 'dc_yl': 22, 'dc_xr': 0, 'time': 1542091437.277304}
{'dc_yr': -22, 'dc_xl': 0, 'dc_yl': 22, 'dc_xr': 0, 'time': 1542091437.431348}
{'dc_yr': -22, 'dc_xl': 0, 'dc_yl': 22, 'dc_xr': 0, 'time': 1542091437.435183}
{'dc_yr': -26, 'dc_xl': 0, 'dc_yl': 22, 'dc_xr': 0, 'time': 1542091437.438771}
{'dc_yr': -26, 'dc_xl': 0, 'dc_yl': 26, 'dc_xr': 0, 'time': 1542091437.442317}
{'dc_yr': -26, 'dc_xl': 0, 'dc_yl': 26, 'dc_xr': 0, 'time': 1542091437.596963}
{'dc_yr': -26, 'dc_xl': 0, 'dc_yl': 26, 'dc_xr': 0, 'time': 1542091437.600749}
{'dc_yr': -34, 'dc_xl': 0, 'dc_yl': 26, 'dc_xr': 0, 'time': 1542091437.604325}
{'dc_yr': -34, 'dc_xl': 0, 'dc_yl': 34, 'dc_xr': 0, 'time': 1542091437.607893}
{'dc_yr': -34, 'dc_xl': 0, 'dc_yl': 34, 'dc_xr': 0, 'time': 1542091437.762164}
{'dc_yr': -34, 'dc_xl': 0, 'dc_yl': 34, 'dc_xr': 0, 'time': 1542091437.765897}
