{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 20:40:38.232876', 'mgs': 0, 'depth': -0.446, 'time': 5.17, 'pitch': 7.04, 'roll': -0.2}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 20:40:38.329830', 'mgs': 0, 'depth': -0.446, 'time': 5.27, 'pitch': 7.04, 'roll': -0.26}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 20:40:38.426921', 'mgs': 0, 'depth': -0.522, 'time': 5.36, 'pitch': 7.03, 'roll': -0.18}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.23, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 20:40:38.525408', 'mgs': 0, 'depth': -0.522, 'time': 5.46, 'pitch': 7.03, 'roll': -0.23}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.01, 'datetime': '2018-10-12 20:40:38.623803', 'mgs': 1, 'depth': -0.522, 'time': 5.56, 'pitch': 7.03, 'roll': -0.16}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:42.146582', 'mgs': 0, 'depth': -0.522, 'time': 1.26, 'pitch': 7.05, 'roll': -0.09}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.178389', 'mgs': 0, 'depth': -0.446, 'time': 1.36, 'pitch': 7.02, 'roll': -0.14}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:42.195895', 'mgs': 0, 'depth': -0.446, 'time': 1.45, 'pitch': 7.06, 'roll': -0.09}
{'lipoC2': 7.85, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.217271', 'mgs': 0, 'depth': -0.446, 'time': 1.55, 'pitch': 7.04, 'roll': -0.14}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': 0.0, 'datetime': '2018-10-12 20:40:42.230432', 'mgs': 0, 'depth': -0.522, 'time': 1.65, 'pitch': 7.04, 'roll': -0.08}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.237759', 'mgs': 0, 'depth': -0.446, 'time': 1.75, 'pitch': 7.03, 'roll': -0.12}
{'lipoC2': 7.86, 'temp': 28.81, 'lipoC3S3': 12.22, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 20:40:42.250834', 'mgs': 0, 'depth': -0.446, 'time': 1.84, 'pitch': 7.04, 'roll': -0.09}
