{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:56.762991', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1537, 'duty0': 1513, 'duty3': 1513, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.217, 'time': 13.07, 'yaw': 0.0}
{'lipoC3S3': 12.01, 'datetime': '2018-11-13 15:43:57.099778', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'flw1': 0.29, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1641, 'duty0': 1507, 'duty3': 1506, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.064, 'time': 13.4, 'yaw': 0.0}
{'lipoC3S3': 12.01, 'datetime': '2018-11-13 15:43:57.431157', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 1, 'rot2': 1, 'flw1': 1.38, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1727, 'duty0': 1513, 'duty3': 1513, 'duty2': 1510, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.57, 'temp': 26.63, 'depth': -0.14, 'time': 13.73, 'yaw': 0.0}
{'lipoC3S3': 12.01, 'datetime': '2018-11-13 15:43:57.761763', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 2, 'rot2': 2, 'flw1': 2.34, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1884, 'duty0': 1506, 'duty3': 1506, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.75, 'depth': 0.241, 'time': 14.06, 'yaw': 0.0}
{'lipoC3S3': 11.94, 'datetime': '2018-11-13 15:43:58.096243', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 4, 'rot2': 3, 'flw1': 2.96, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1920, 'duty0': 1512, 'duty3': 1512, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': -0.217, 'time': 14.39, 'yaw': 0.0}
{'lipoC3S3': 11.98, 'datetime': '2018-11-13 15:43:58.423338', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 6, 'rot2': 4, 'flw1': 2.7, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1892, 'duty0': 1506, 'duty3': 1509, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': 0.012, 'time': 14.72, 'yaw': 0.0}
{'lipoC3S3': 12.01, 'datetime': '2018-11-13 15:43:58.754896', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 8, 'rot2': 5, 'flw1': 1.67, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1666, 'duty0': 1512, 'duty3': 1516, 'duty2': 1518, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.57, 'temp': 26.69, 'depth': -0.14, 'time': 15.05, 'yaw': 0.0}
{'lipoC3S3': 12.02, 'datetime': '2018-11-13 15:43:59.085190', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 9, 'rot2': 6, 'flw1': 0.0, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1393, 'duty0': 1513, 'duty3': 1509, 'duty2': 1509, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.57, 'temp': 26.69, 'depth': -0.14, 'time': 15.39, 'yaw': 0.0}
{'lipoC3S3': 11.98, 'datetime': '2018-11-13 15:43:59.416916', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 9, 'rot2': 7, 'flw1': 3.78, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1105, 'duty0': 1506, 'duty3': 1516, 'duty2': 1516, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.63, 'depth': 0.241, 'time': 15.72, 'yaw': 0.0}
{'lipoC3S3': 12.0, 'datetime': '2018-11-13 15:43:59.747435', 'pitch': -0.97, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 8, 'flw1': 3.22, 'flw2': 0.0, 'state': 'normal', 'flw0': 0.0, 'duty1': 1372, 'duty0': 1512, 'duty3': 1507, 'duty2': 1510, 'roll': -2.28, 'mgs': 0, 'lipoC2': 7.58, 'temp': 26.69, 'depth': -0.217, 'time': 16.05, 'yaw': 0.0}
