{'lipoC2': 7.59, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:04.254806', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 1.26, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:06.512990', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.52, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:06.720737', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.73, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:06.925688', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 3.93, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:07.130136', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.14, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:07.335005', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.34, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:07.544939', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.55, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:07.749138', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.75, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:07.955848', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 4.96, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:08.160186', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.17, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:08.365385', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.37, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:08.569719', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.57, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:08.776409', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.78, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:08.980605', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.99, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.38, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:09.187812', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.19, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:09.390284', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.4, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.38, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:09.594784', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.61, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:09.797976', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.81, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:10.003978', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.02, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:10.213529', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.22, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:10.517111', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.53, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.61, 'temp': 26.25, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:10.723759', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.74, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.31, 'lipoC3S3': 12.02, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:10.928135', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.94, 'pitch': -0.94, 'roll': -2.18}
{'lipoC2': 7.59, 'temp': 26.31, 'lipoC3S3': 12.04, 'state': 'normal', 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': 0.0, 'datetime': '2018-11-13 15:35:11.134711', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.15, 'pitch': -0.94, 'roll': -2.18}
