{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.18, 'rot1': 17, 'rot0': 18, 'rot3': 5, 'rot2': 7, 'state': 'normal', 'yaw': -1.29, 'datetime': '2018-10-17 10:06:58.911489', 'mgs': 0, 'depth': 1.614, 'time': 5.25, 'pitch': -0.13, 'roll': -1.59}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.25, 'rot1': 18, 'rot0': 19, 'rot3': 5, 'rot2': 7, 'state': 'normal', 'yaw': -1.58, 'datetime': '2018-10-17 10:06:59.006841', 'mgs': 0, 'depth': 1.462, 'time': 5.35, 'pitch': -0.13, 'roll': -0.82}
{'lipoC2': 7.51, 'temp': 24.06, 'lipoC3S3': 11.32, 'rot1': 19, 'rot0': 20, 'rot3': 6, 'rot2': 8, 'state': 'normal', 'yaw': -1.64, 'datetime': '2018-10-17 10:06:59.103772', 'mgs': 0, 'depth': 2.53, 'time': 5.44, 'pitch': -0.14, 'roll': -0.28}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.32, 'rot1': 20, 'rot0': 21, 'rot3': 6, 'rot2': 8, 'state': 'normal', 'yaw': -1.48, 'datetime': '2018-10-17 10:06:59.200892', 'mgs': 0, 'depth': 1.92, 'time': 5.54, 'pitch': -0.13, 'roll': 0.02}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.35, 'rot1': 21, 'rot0': 22, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': -1.17, 'datetime': '2018-10-17 10:06:59.297819', 'mgs': 0, 'depth': 1.843, 'time': 5.64, 'pitch': -0.13, 'roll': 0.11}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.3, 'rot1': 22, 'rot0': 22, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': -0.76, 'datetime': '2018-10-17 10:06:59.394789', 'mgs': 0, 'depth': 2.072, 'time': 5.74, 'pitch': -0.12, 'roll': 0.11}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.38, 'rot1': 23, 'rot0': 23, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': -0.29, 'datetime': '2018-10-17 10:06:59.491728', 'mgs': 0, 'depth': 2.682, 'time': 5.83, 'pitch': -0.13, 'roll': 0.08}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.38, 'rot1': 24, 'rot0': 24, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': 0.34, 'datetime': '2018-10-17 10:06:59.588766', 'mgs': 0, 'depth': 2.225, 'time': 5.93, 'pitch': -0.13, 'roll': -0.08}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.38, 'rot1': 25, 'rot0': 25, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': 1.13, 'datetime': '2018-10-17 10:06:59.685712', 'mgs': 0, 'depth': 2.225, 'time': 6.03, 'pitch': -0.13, 'roll': -0.25}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.35, 'rot1': 26, 'rot0': 26, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': 1.92, 'datetime': '2018-10-17 10:06:59.783981', 'mgs': 0, 'depth': 2.606, 'time': 6.12, 'pitch': -0.13, 'roll': -0.42}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.36, 'rot1': 27, 'rot0': 27, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': 2.44, 'datetime': '2018-10-17 10:06:59.882236', 'mgs': 0, 'depth': 2.301, 'time': 6.22, 'pitch': -0.21, 'roll': -0.6}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.3, 'rot1': 27, 'rot0': 28, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': 2.5, 'datetime': '2018-10-17 10:06:59.980097', 'mgs': 0, 'depth': 2.377, 'time': 6.32, 'pitch': -0.36, 'roll': -0.76}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.35, 'rot1': 28, 'rot0': 29, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': 2.22, 'datetime': '2018-10-17 10:07:00.077133', 'mgs': 0, 'depth': 2.682, 'time': 6.42, 'pitch': -0.52, 'roll': -0.92}
{'lipoC2': 7.51, 'temp': 24.13, 'lipoC3S3': 11.27, 'rot1': 29, 'rot0': 30, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': 1.71, 'datetime': '2018-10-17 10:07:00.174757', 'mgs': 0, 'depth': 2.606, 'time': 6.51, 'pitch': -0.65, 'roll': -1.07}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.38, 'rot1': 30, 'rot0': 31, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': 0.93, 'datetime': '2018-10-17 10:07:00.273089', 'mgs': 0, 'depth': 2.682, 'time': 6.61, 'pitch': -0.77, 'roll': -1.22}
{'lipoC2': 7.5, 'temp': 24.06, 'lipoC3S3': 11.36, 'rot1': 30, 'rot0': 32, 'rot3': 6, 'rot2': 9, 'state': 'normal', 'yaw': -0.03, 'datetime': '2018-10-17 10:07:00.370703', 'mgs': 0, 'depth': 2.759, 'time': 6.71, 'pitch': -0.88, 'roll': -1.36}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.31, 'rot1': 31, 'rot0': 33, 'rot3': 6, 'rot2': 10, 'state': 'normal', 'yaw': -1.13, 'datetime': '2018-10-17 10:07:00.467870', 'mgs': 0, 'depth': 2.759, 'time': 6.81, 'pitch': -0.98, 'roll': -1.4}
{'lipoC2': 7.5, 'temp': 24.13, 'lipoC3S3': 11.26, 'rot1': 32, 'rot0': 34, 'rot3': 6, 'rot2': 10, 'state': 'normal', 'yaw': -2.24, 'datetime': '2018-10-17 10:07:00.565849', 'mgs': 0, 'depth': 2.835, 'time': 6.91, 'pitch': -1.12, 'roll': -1.31}
