{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.882982', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.79, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.906956', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 5.9, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.930995', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.0, 'pitch': -23.88, 'roll': 46.02}
{'lipoC2': 8.17, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:24.951771', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.1, 'pitch': -23.87, 'roll': 46.03}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:24.972524', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.2, 'pitch': -23.87, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.217, 'yaw': -0.04, 'datetime': '2018-10-26 09:54:24.996251', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.31, 'pitch': -23.87, 'roll': 46.03}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:25.018563', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.41, 'pitch': -23.87, 'roll': 46.03}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:25.039360', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.51, 'pitch': -23.87, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.02, 'datetime': '2018-10-26 09:54:25.060123', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.62, 'pitch': -23.87, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:25.080922', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.72, 'pitch': -23.87, 'roll': 46.03}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:25.104594', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.82, 'pitch': -23.87, 'roll': 46.03}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:25.129492', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 6.93, 'pitch': -23.87, 'roll': 46.03}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:25.150427', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.03, 'pitch': -23.86, 'roll': 46.03}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:25.171231', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.13, 'pitch': -23.86, 'roll': 46.03}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:25.192009', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.24, 'pitch': -23.86, 'roll': 46.03}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.04, 'datetime': '2018-10-26 09:54:25.215853', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.34, 'pitch': -23.87, 'roll': 46.03}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.04, 'datetime': '2018-10-26 09:54:25.239206', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.44, 'pitch': -23.87, 'roll': 46.03}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.05, 'datetime': '2018-10-26 09:54:25.260024', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.54, 'pitch': -23.87, 'roll': 46.04}
{'lipoC2': 8.17, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.064, 'yaw': -0.03, 'datetime': '2018-10-26 09:54:25.280778', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.65, 'pitch': -23.87, 'roll': 46.02}
{'lipoC2': 8.16, 'temp': 25.69, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.05, 'datetime': '2018-10-26 09:54:25.301532', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.75, 'pitch': -23.87, 'roll': 46.04}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.05, 'datetime': '2018-10-26 09:54:25.322621', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.85, 'pitch': -23.87, 'roll': 46.04}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.05, 'datetime': '2018-10-26 09:54:25.345607', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 7.96, 'pitch': -23.87, 'roll': 46.04}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.05, 'datetime': '2018-10-26 09:54:25.369531', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.06, 'pitch': -23.87, 'roll': 46.04}
{'lipoC2': 8.17, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.05, 'datetime': '2018-10-26 09:54:25.393359', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.16, 'pitch': -23.87, 'roll': 46.04}
{'lipoC2': 8.16, 'temp': 25.75, 'lipoC3S3': 0.0, 'state': 'normal', 'rot1': 0, 'rot0': 516, 'rot3': 0, 'rot2': 0, 'depth': -0.14, 'yaw': -0.05, 'datetime': '2018-10-26 09:54:25.417134', 'mgs': 0, 'flw2': 0.0, 'flw1': 0.0, 'flw0': 0.0, 'time': 8.27, 'pitch': -23.87, 'roll': 46.04}
