{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:25.837492', 'mgs': 0, 'depth': -0.827, 'time': 4.1, 'pitch': 1.62, 'roll': 1.09}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:25.934849', 'mgs': 0, 'depth': -0.827, 'time': 4.19, 'pitch': 1.62, 'roll': 1.09}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:26.027625', 'mgs': 0, 'depth': -0.827, 'time': 4.29, 'pitch': 1.61, 'roll': 1.09}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:26.125587', 'mgs': 0, 'depth': -0.903, 'time': 4.39, 'pitch': 1.62, 'roll': 1.09}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:26.224052', 'mgs': 0, 'depth': -0.827, 'time': 4.49, 'pitch': 1.6, 'roll': 1.1}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:26.322471', 'mgs': 0, 'depth': -0.751, 'time': 4.59, 'pitch': 1.6, 'roll': 1.1}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.19, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:26.419567', 'mgs': 0, 'depth': -0.827, 'time': 4.68, 'pitch': 1.59, 'roll': 1.1}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:26.516800', 'mgs': 0, 'depth': -0.751, 'time': 4.78, 'pitch': 1.58, 'roll': 1.1}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:26.614803', 'mgs': 0, 'depth': -0.903, 'time': 4.88, 'pitch': 1.56, 'roll': 1.09}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:26.711918', 'mgs': 0, 'depth': -0.903, 'time': 4.98, 'pitch': 1.55, 'roll': 1.1}
{'lipoC2': 7.78, 'temp': 29.94, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:26.808953', 'mgs': 0, 'depth': -0.827, 'time': 5.07, 'pitch': 1.53, 'roll': 1.08}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:26.907006', 'mgs': 0, 'depth': -0.827, 'time': 5.17, 'pitch': 1.5, 'roll': 1.09}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:27.005358', 'mgs': 0, 'depth': -0.827, 'time': 5.27, 'pitch': 1.48, 'roll': 1.08}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:27.102936', 'mgs': 0, 'depth': -0.827, 'time': 5.37, 'pitch': 1.46, 'roll': 1.09}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:27.200058', 'mgs': 0, 'depth': -0.827, 'time': 5.47, 'pitch': 1.43, 'roll': 1.08}
{'lipoC2': 7.78, 'temp': 29.88, 'lipoC3S3': 12.18, 'rot1': 3, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.0, 'datetime': '2018-10-12 21:01:27.297753', 'mgs': 1, 'depth': -0.751, 'time': 5.56, 'pitch': 1.42, 'roll': 1.08}
