{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:41.029420', 'mgs': 0, 'depth': -0.217, 'time': 4.39, 'pitch': -3.42, 'roll': -2.66}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:41.127843', 'mgs': 0, 'depth': -0.293, 'time': 4.49, 'pitch': -3.42, 'roll': -2.63}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:41.226047', 'mgs': 0, 'depth': -0.369, 'time': 4.59, 'pitch': -3.42, 'roll': -2.63}
{'lipoC2': 8.05, 'temp': 25.19, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:41.323125', 'mgs': 0, 'depth': -0.293, 'time': 4.68, 'pitch': -3.42, 'roll': -2.63}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:41.420395', 'mgs': 0, 'depth': -0.293, 'time': 4.78, 'pitch': -3.43, 'roll': -2.62}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:41.517639', 'mgs': 0, 'depth': -0.293, 'time': 4.88, 'pitch': -3.43, 'roll': -2.62}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:41.614696', 'mgs': 0, 'depth': -0.369, 'time': 4.97, 'pitch': -3.43, 'roll': -2.62}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:41.711779', 'mgs': 0, 'depth': -0.293, 'time': 5.07, 'pitch': -3.43, 'roll': -2.62}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:41.810262', 'mgs': 0, 'depth': -0.217, 'time': 5.17, 'pitch': -3.43, 'roll': -2.62}
{'lipoC2': 8.06, 'temp': 25.13, 'lipoC3S3': 12.5, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:41.908617', 'mgs': 0, 'depth': -0.293, 'time': 5.27, 'pitch': -3.43, 'roll': -2.62}
{'lipoC2': 8.06, 'temp': 25.19, 'lipoC3S3': 12.51, 'rot1': 0, 'rot0': 0, 'rot3': 0, 'rot2': 0, 'state': 'normal', 'yaw': -0.01, 'datetime': '2018-10-12 15:40:42.005706', 'mgs': 0, 'depth': -0.369, 'time': 5.36, 'pitch': -3.43, 'roll': -2.62}
