{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.73, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 12, 'state': 'normal', 'yaw': -6.8, 'datetime': '2018-10-12 14:05:50.718064', 'mgs': 0, 'depth': 4.056, 'time': 3.49, 'pitch': 0.4, 'roll': -3.45}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.73, 'rot1': 0, 'rot0': 0, 'rot3': 10, 'rot2': 13, 'state': 'normal', 'yaw': -7.02, 'datetime': '2018-10-12 14:05:50.814822', 'mgs': 0, 'depth': 3.751, 'time': 3.59, 'pitch': 0.19, 'roll': -3.41}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 13, 'state': 'normal', 'yaw': -7.22, 'datetime': '2018-10-12 14:05:50.911884', 'mgs': 0, 'depth': 3.827, 'time': 3.68, 'pitch': -0.01, 'roll': -3.54}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 14, 'state': 'normal', 'yaw': -7.41, 'datetime': '2018-10-12 14:05:51.008817', 'mgs': 0, 'depth': 4.056, 'time': 3.78, 'pitch': -0.2, 'roll': -3.83}
{'lipoC2': 7.77, 'temp': 23.56, 'lipoC3S3': 11.73, 'rot1': 0, 'rot0': 0, 'rot3': 11, 'rot2': 14, 'state': 'normal', 'yaw': -7.57, 'datetime': '2018-10-12 14:05:51.105998', 'mgs': 0, 'depth': 3.903, 'time': 3.88, 'pitch': -0.33, 'roll': -4.21}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 12, 'rot2': 15, 'state': 'normal', 'yaw': -7.73, 'datetime': '2018-10-12 14:05:51.203131', 'mgs': 0, 'depth': 3.979, 'time': 3.98, 'pitch': -0.43, 'roll': -4.73}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 12, 'rot2': 15, 'state': 'normal', 'yaw': -7.88, 'datetime': '2018-10-12 14:05:51.300139', 'mgs': 0, 'depth': 4.132, 'time': 4.07, 'pitch': -0.49, 'roll': -5.29}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 13, 'rot2': 16, 'state': 'normal', 'yaw': -8.06, 'datetime': '2018-10-12 14:05:51.397608', 'mgs': 0, 'depth': 4.056, 'time': 4.17, 'pitch': -0.51, 'roll': -5.85}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.73, 'rot1': 0, 'rot0': 0, 'rot3': 13, 'rot2': 16, 'state': 'normal', 'yaw': -8.22, 'datetime': '2018-10-12 14:05:51.495946', 'mgs': 0, 'depth': 4.132, 'time': 4.27, 'pitch': -0.52, 'roll': -6.31}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.72, 'rot1': 0, 'rot0': 0, 'rot3': 14, 'rot2': 17, 'state': 'normal', 'yaw': -8.44, 'datetime': '2018-10-12 14:05:51.592938', 'mgs': 0, 'depth': 4.285, 'time': 4.37, 'pitch': -0.48, 'roll': -6.79}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.69, 'rot1': 0, 'rot0': 0, 'rot3': 14, 'rot2': 17, 'state': 'normal', 'yaw': -8.68, 'datetime': '2018-10-12 14:05:51.690181', 'mgs': 0, 'depth': 4.208, 'time': 4.46, 'pitch': -0.43, 'roll': -7.2}
{'lipoC2': 7.78, 'temp': 23.56, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 14, 'rot2': 18, 'state': 'normal', 'yaw': -8.87, 'datetime': '2018-10-12 14:05:51.787729', 'mgs': 0, 'depth': 4.285, 'time': 4.56, 'pitch': -0.37, 'roll': -7.49}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.73, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 19, 'state': 'normal', 'yaw': -9.11, 'datetime': '2018-10-12 14:05:51.886046', 'mgs': 0, 'depth': 4.361, 'time': 4.66, 'pitch': -0.33, 'roll': -7.71}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.75, 'rot1': 0, 'rot0': 0, 'rot3': 15, 'rot2': 19, 'state': 'normal', 'yaw': -9.31, 'datetime': '2018-10-12 14:05:51.983815', 'mgs': 0, 'depth': 4.437, 'time': 4.76, 'pitch': -0.31, 'roll': -7.81}
{'lipoC2': 7.78, 'temp': 23.63, 'lipoC3S3': 11.71, 'rot1': 0, 'rot0': 0, 'rot3': 16, 'rot2': 20, 'state': 'normal', 'yaw': -9.49, 'datetime': '2018-10-12 14:05:52.080861', 'mgs': 0, 'depth': 4.437, 'time': 4.86, 'pitch': -0.3, 'roll': -7.79}
{'lipoC2': 7.78, 'temp': 23.63, 'lipoC3S3': 11.73, 'rot1': 0, 'rot0': 0, 'rot3': 16, 'rot2': 20, 'state': 'normal', 'yaw': -9.67, 'datetime': '2018-10-12 14:05:52.178472', 'mgs': 0, 'depth': 4.514, 'time': 4.95, 'pitch': -0.26, 'roll': -7.65}
{'lipoC2': 7.78, 'temp': 23.63, 'lipoC3S3': 11.73, 'rot1': 0, 'rot0': 0, 'rot3': 16, 'rot2': 21, 'state': 'normal', 'yaw': -9.9, 'datetime': '2018-10-12 14:05:52.275985', 'mgs': 0, 'depth': 4.819, 'time': 5.05, 'pitch': -0.22, 'roll': -7.41}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 17, 'rot2': 21, 'state': 'normal', 'yaw': -10.13, 'datetime': '2018-10-12 14:05:52.372858', 'mgs': 0, 'depth': 4.59, 'time': 5.15, 'pitch': -0.24, 'roll': -7.08}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 17, 'rot2': 21, 'state': 'normal', 'yaw': -10.36, 'datetime': '2018-10-12 14:05:52.469889', 'mgs': 0, 'depth': 4.742, 'time': 5.24, 'pitch': -0.31, 'roll': -6.62}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 17, 'rot2': 21, 'state': 'normal', 'yaw': -10.54, 'datetime': '2018-10-12 14:05:52.567003', 'mgs': 0, 'depth': 4.742, 'time': 5.34, 'pitch': -0.4, 'roll': -6.13}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.76, 'rot1': 0, 'rot0': 0, 'rot3': 17, 'rot2': 21, 'state': 'normal', 'yaw': -10.72, 'datetime': '2018-10-12 14:05:52.663965', 'mgs': 0, 'depth': 4.742, 'time': 5.44, 'pitch': -0.49, 'roll': -5.58}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 17, 'rot2': 21, 'state': 'normal', 'yaw': -10.91, 'datetime': '2018-10-12 14:05:52.761012', 'mgs': 0, 'depth': 4.819, 'time': 5.54, 'pitch': -0.55, 'roll': -5.05}
{'lipoC2': 7.77, 'temp': 23.5, 'lipoC3S3': 11.77, 'rot1': 0, 'rot0': 0, 'rot3': 17, 'rot2': 21, 'state': 'normal', 'yaw': -11.09, 'datetime': '2018-10-12 14:05:52.858048', 'mgs': 0, 'depth': 4.895, 'time': 5.63, 'pitch': -0.6, 'roll': -4.59}
{'lipoC2': 7.78, 'temp': 23.5, 'lipoC3S3': 11.67, 'rot1': 0, 'rot0': 0, 'rot3': 18, 'rot2': 21, 'state': 'normal', 'yaw': -11.28, 'datetime': '2018-10-12 14:05:52.955136', 'mgs': 0, 'depth': 4.895, 'time': 5.73, 'pitch': -0.63, 'roll': -4.12}
